D,d18Oc,YEARMARKER,D_err,d18Oc_err
200,-0.475,1,50,0.14
300,-0.825,0,50,0.14
400,-1.543,0,50,0.14
500,-1.566,0,50,0.14
600,-1.716,0,50,0.14
700,-1.695,0,50,0.14
800,-1.639,0,50,0.14
900,-1.601,0,50,0.14
1000,-1.686,0,50,0.14
1100,-1.696,0,50,0.14
1200,-1.573,0,50,0.14
1300,-1.165,0,50,0.14
1400,-0.652,1,50,0.14
1500,-0.673,0,50,0.14
1600,-0.887,0,50,0.14
1700,-1.143,0,50,0.14
1800,-1.464,0,50,0.14
1900,-1.586,0,50,0.14
2000,-1.628,0,50,0.14
2100,-1.702,0,50,0.14
2200,-1.66,0,50,0.14
2300,-1.55,0,50,0.14
2400,-1.637,0,50,0.14
2500,-1.364,0,50,0.14
2600,-0.736,0,50,0.14
2700,-0.139,1,50,0.14
2800,-0.41,0,50,0.14
2900,-0.966,0,50,0.14
3000,-1.42,0,50,0.14
3100,-1.669,0,50,0.14
3200,-1.736,0,50,0.14
3300,-1.392,0,50,0.14
3400,-1.288,0,50,0.14
3500,-1.465,0,50,0.14
3600,-1.364,0,50,0.14
3700,-1.372,0,50,0.14
3800,-1.259,0,50,0.14
3900,-1.133,0,50,0.14
4000,-0.543,0,50,0.14
4100,-0.44,1,50,0.14
4200,-0.611,0,50,0.14
4300,-1.037,0,50,0.14
4400,-1.288,0,50,0.14
4500,-1.562,0,50,0.14
4600,-1.588,0,50,0.14
4700,-1.612,0,50,0.14
4800,-1.556,0,50,0.14
4900,-1.54,0,50,0.14
5000,-1.458,0,50,0.14
5100,-1.324,0,50,0.14
5200,-1.349,0,50,0.14
5300,-0.99,0,50,0.14
5400,-0.504,0,50,0.14
5500,-0.389,1,50,0.14
5600,-0.723,0,50,0.14
5700,-1.136,0,50,0.14
5800,-1.445,0,50,0.14
5900,-1.481,0,50,0.14
6000,-1.555,0,50,0.14
6100,-1.775,0,50,0.14
6200,-1.72,0,50,0.14
6300,-1.656,0,50,0.14
6400,-1.642,0,50,0.14
6500,-1.66,0,50,0.14
6600,-1.562,0,50,0.14
6700,-1.201,0,50,0.14
6800,-0.626,0,50,0.14
6900,-0.598,1,50,0.14
7000,-0.667,0,50,0.14
7100,-0.913,0,50,0.14
7200,-1.61,0,50,0.14
7300,-1.787,0,50,0.14
7400,-1.722,0,50,0.14
7500,-1.933,0,50,0.14
7600,-1.902,0,50,0.14
7700,-1.786,0,50,0.14
7800,-1.819,0,50,0.14
7900,-1.721,0,50,0.14
8000,-1.688,0,50,0.14
8100,-1.709,0,50,0.14
8200,-1.507,0,50,0.14
8300,-1.008,0,50,0.14
8400,-0.641,0,50,0.14
8500,-0.608,1,50,0.14
8600,-0.694,0,50,0.14
8700,-0.983,0,50,0.14
8800,-1.551,0,50,0.14
8900,-1.822,0,50,0.14
9000,-1.792,0,50,0.14
9100,-1.674,0,50,0.14
9200,-1.559,0,50,0.14
9300,-1.78,0,50,0.14
9400,-1.698,0,50,0.14
9500,-1.865,0,50,0.14
9600,-1.776,0,50,0.14
9700,-1.709,0,50,0.14
9800,-1.506,0,50,0.14
9900,-1.04,0,50,0.14
10000,-0.601,1,50,0.14
10100,-0.615,0,50,0.14
10200,-0.808,0,50,0.14
10300,-1.146,0,50,0.14
10400,-1.485,0,50,0.14
10500,-2.074,0,50,0.14
10600,-1.79,0,50,0.14
10700,-1.846,0,50,0.14
10800,-1.8,0,50,0.14
10900,-1.785,0,50,0.14
11000,-1.787,0,50,0.14
11100,-1.834,0,50,0.14
11200,-1.799,0,50,0.14
11300,-1.811,0,50,0.14
11400,-1.491,0,50,0.14
11500,-1.219,0,50,0.14
11600,-0.753,0,50,0.14
11700,-0.791,0,50,0.14
11800,-0.661,1,50,0.14
11900,-0.809,0,50,0.14
12000,-0.982,0,50,0.14
12100,-1.138,0,50,0.14
12200,-1.185,0,50,0.14
12300,-1.408,0,50,0.14
12400,-1.808,0,50,0.14
12500,-1.617,0,50,0.14
12600,-1.736,0,50,0.14
12700,-1.676,0,50,0.14
12800,-1.747,0,50,0.14
12900,-1.524,0,50,0.14
13000,-1.467,0,50,0.14
13100,-1.52,0,50,0.14
13200,-1.441,0,50,0.14
13300,-1.537,0,50,0.14
13400,-1.266,0,50,0.14
13500,-0.854,0,50,0.14
13600,-0.619,1,50,0.14
13700,-0.8,0,50,0.14
13800,-1.057,0,50,0.14
13900,-1.241,0,50,0.14
14000,-1.694,0,50,0.14
14100,-1.838,0,50,0.14
14200,-1.824,0,50,0.14
14300,-1.891,0,50,0.14
14400,-1.773,0,50,0.14
14500,-1.691,0,50,0.14
14600,-1.537,0,50,0.14
14700,-1.453,0,50,0.14
14800,-1.556,0,50,0.14
14900,-1.614,0,50,0.14
15000,-1.694,0,50,0.14
15100,-1.651,0,50,0.14
15200,-1.332,0,50,0.14
15300,-0.729,0,50,0.14
15400,-0.422,0,50,0.14
15500,-0.395,0,50,0.14
15600,-0.568,1,50,0.14
15700,-0.766,0,50,0.14
15800,-1.248,0,50,0.14
15900,-1.321,0,50,0.14
