"","D","mean.day","sd.day","N","se.day","CL95.day"
"1",2e+05,97.3246257711403,NA,1,NA,NA
"2",3e+05,124.493377146965,107.832455640454,2,76.2490606153629,222.646157512377
"3",4e+05,169.578594538168,46.2254004618734,3,26.6882474000608,62.8071455702481
"4",5e+05,170.62093210084,65.4242299022365,4,32.7121149511183,69.7372171324894
"5",6e+05,165.67061793647,74.5768586487459,5,33.3517850973978,67.205460308264
"6",7e+05,177.718348529437,77.6017870531591,6,31.680796901393,61.5614998097971
"7",8e+05,191.835225829799,81.6510553532323,7,30.8611981072317,58.4689656614053
"8",9e+05,198.410005178048,79.4046944845685,8,28.0737989640422,52.2045777696216
"9",1e+06,204.882779309936,83.9749951630614,9,27.9916650543538,51.3118832177176
"10",1100000,211.97034024384,80.3513837115282,10,25.4093385674583,46.0534383098775
"11",1200000,220.08853911479,72.4310280431426,11,21.8387766544376,39.2199274527728
"12",1300000,230.095334673815,77.4193607317967,12,22.3490443794958,39.8324236782297
"13",1400000,251.277242751475,101.040686184688,12,29.1679336839172,51.9856452288502
"14",1500000,115.808717002302,123.20332235246,12,35.5657356626245,63.3883680790088
"15",1600000,365.966284108433,147.317481124977,11,44.4178918138012,79.7694175872442
"16",1700000,412.288194061002,160.257855762211,11,48.3195615700136,86.7763670700228
"17",1800000,411.972302881375,143.440042383601,11,43.2488000453709,77.6698634286484
"18",1900000,338.17353591307,137.61341710898,11,41.4920064244691,74.5148644352746
"19",2e+06,228.578292378527,126.114088655307,11,38.0248284406608,68.2882121304085
"20",2100000,227.207365784304,111.48784546457,12,32.1837687951703,57.3607306175269
"21",2200000,230.172732414098,93.776450814354,12,27.0709295606575,48.2481808758192
"22",2300000,234.47972046397,80.9451200775174,12,23.3668434331706,41.6464342657461
"23",2400000,269.948096643635,72.6963385475485,12,20.9856253147637,37.4024188460226
"24",2500000,239.198437798074,64.9729576309839,12,18.7560772891474,33.4287231452442
"25",2600000,252.8246248899,59.2579723108501,12,17.1063031326503,30.4883511964877
"26",2700000,338.859614461996,44.1200839917225,12,12.7363711846449,22.6998758665233
"27",2800000,468.41071587945,57.5431228531829,12,16.6112687346484,29.6060575493105
"28",2900000,515.798917245645,67.3327540487334,13,18.6747459416088,33.0717312495653
"29",3e+06,533.956010565065,82.688990297382,13,22.9337995718119,40.6142315585912
"30",3100000,454.961489181014,94.0656497067817,13,26.0891171752027,46.2020888773812
"31",3200000,464.476563212329,105.903278227738,13,29.3722846069107,52.0163597268093
"32",3300000,468.78215668212,123.204116393206,13,34.1706737695336,60.5139873418396
"33",3400000,555.686797004384,132.725866364992,14,35.4724798786103,62.4780383512672
"34",3500000,560.595190999559,144.280490877295,14,38.5605831756001,67.9171459885753
"35",3600000,568.169285214431,150.35936839023,14,40.1852315291407,70.7786556007363
"36",3700000,574.201719557955,146.161874257507,14,39.0634040343089,68.8027694634981
"37",3800000,581.089058315025,133.895352475817,14,35.7850381889885,63.0285504713571
"38",3900000,532.238225867612,115.883850198117,14,30.9712617215421,54.549997187889
"39",4e+06,386.707784572783,90.4826872761937,14,24.182515373009,42.592909435013
"40",4100000,325.945375746293,69.4750154380904,14,18.5679789078689,32.7039694512839
"41",4200000,300.318255027341,62.4668495473562,14,16.694967788383,29.4050159821143
"42",4300000,518.158011302837,60.0338602017124,14,16.0447240343065,28.2597350673351
"43",4400000,533.401266755947,68.3729025097513,14,18.2734268379132,32.1851719049575
"44",4500000,536.777157381402,81.851917830677,14,21.8758452123404,38.5301479011379
"45",4600000,540.037482985601,96.224362603058,14,25.7170426515247,45.2956878842857
"46",4700000,543.150991571459,109.360377288156,14,29.2277902500438,51.4792032137047
"47",4800000,546.306250016415,124.567466172449,14,33.2920557111327,58.6376351648004
"48",4900000,549.517884418132,140.160305160915,14,37.4594172241305,65.9776512370815
"49",5e+06,552.88384668284,154.542953116118,14,41.3033415786273,72.7479941638088
"50",5100000,556.857984117416,164.609146248536,14,43.9936448565277,77.4864525954831
"51",5200000,564.710701269529,166.441944801152,14,44.4834808738751,78.3492057377048
"52",5300000,648.142751736112,158.170571103956,14,42.2728632672408,74.4556225408174
"53",5400000,620.631494273768,123.627340745067,14,33.0407966218572,58.1950899841539
"54",5500000,641.893379727632,121.184952881149,14,32.3880410081146,57.045384905485
"55",5600000,652.757563354882,115.97409095383,13,32.165425504566,56.9628262221638
"56",5700000,819.003728629062,124.369205282247,12,35.9022970743027,63.9882172947547
"57",5800000,843.552740742603,116.053655436345,12,33.5018046033069,59.7098494362689
"58",5900000,856.696340549456,109.042270131682,12,31.4777920067872,56.1024769730145
"59",6e+06,779.824199868581,130.327650486104,12,37.6223520455018,67.0538498649556
"60",6100000,730.867711575908,140.76017749106,12,40.6339631828216,72.4214069174555
"61",6200000,808.018164062503,146.757233019268,12,42.3651639945995,75.5069045806173
"62",6300000,821.10213811561,146.031713451343,12,42.1557245356776,75.1336232393189
"63",6400000,814.133586559951,133.43650196758,12,38.5198001653522,68.6533604808058
"64",6500000,804.527701263815,121.056339549765,12,34.9459551130837,62.2837409183288
"65",6600000,747.559559258202,108.53346433426,12,31.3309124247338,55.8406953217417
"66",6700000,718.876247037749,91.9683227371299,12,26.5489679446002,47.3178951829936
"67",6800000,685.525881805789,72.829253523251,12,21.0239945632642,37.4708038801448
"68",6900000,693.252195974286,45.9550427702707,12,13.2660781570183,23.6439660115249
"69",7e+06,706.792635670118,45.7926520120222,13,12.7005965283712,22.4919105410474
"70",7100000,804.89242605394,58.72070623036,13,16.2861936342324,28.8417642003709
"71",7200000,822.068938468879,71.5477879134333,12,20.6540673058715,36.8114871327982
"72",7300000,836.500041569244,85.1984819135438,13,23.6298073177672,41.8468149197689
"73",7400000,817.248612728125,101.382497723677,13,28.1184456905637,49.7958945166625
"74",7500000,833.555035698468,118.193371553616,13,32.7809431966561,58.052867058907
"75",7600000,851.870842007568,135.132311800017,13,37.4789599359193,66.3727417973734
"76",7700000,855.371787892528,147.323405897538,13,40.8601610799667,72.3606238219161
"77",7800000,853.852081014518,153.629434932871,13,42.6091388516173,75.4579469665708
"78",7900000,856.712756756959,152.986243414024,13,42.4307496207598,75.1420315201608
"79",8e+06,861.563228825157,145.793297930238,13,40.435785485113,71.6090829085479
"80",8100000,876.0120818143,136.551920451202,14,36.4950358453148,64.2790765398209
"81",8200000,841.512690379442,126.103640714665,14,33.7026156270795,59.3607585061004
"82",8300000,764.2645011531,106.612540288206,14,28.4933999208644,50.1857140833059
"83",8400000,796.343302876061,84.5636191230163,14,22.6005778674266,39.8066268722681
"84",8500000,807.012454218519,63.2006278925446,14,16.8910783002065,29.750427414321
"85",8600000,815.859678619749,40.2010991109959,14,10.7441956746492,18.9238607425084
"86",8700000,843.766640426504,44.5562209667803,15,11.5043667849519,20.1677342843777
"87",8800000,842.67074048076,44.2974495432118,15,11.4375522906882,20.0506051114433
"88",8900000,824.496342568199,48.3973923664112,14,12.9347471891699,22.7821013279708
"89",9e+06,839.316002072539,62.9680050264324,14,16.8289072241121,29.6409248678439
"90",9100000,887.780434903462,71.8934376652318,14,19.2143294357633,33.8423931873278
"91",9200000,897.119578441146,77.9354858043795,14,20.8291347251266,36.6865661107862
"92",9300000,905.621222483566,81.7886869402774,13,22.6841003473879,40.1720308631066
"93",9400000,916.044831639012,80.6230852442593,13,22.360820602637,39.5995239668812
"94",9500000,925.640675548893,78.1371435802689,13,21.671344438227,38.3785076015906
"95",9600000,939.239653635243,68.4116539768137,13,18.9739789425155,33.6016529640524
"96",9700000,951.378289591757,57.0416550996119,13,15.8205086383833,28.0170670892117
"97",9800000,955.211402907673,53.7568457309737,13,14.9094664377102,26.4036720308865
"98",9900000,971.326534501485,54.1146901001853,13,15.0087146086201,26.5794339312414
"99",1e+07,1044.9560477639,55.1130718872912,13,15.2856158952278,27.0698076670867
"100",10100000,1139.34543461367,56.9822563489925,13,15.8040343890712,27.9878922909312
"101",10200000,1212.2945175324,61.6269774279078,13,17.0922482360141,30.2692332136551
"102",10300000,1164.84150414982,55.8084565573849,14,14.9154374087423,26.2707110875337
"103",10400000,1169.43162510366,57.0305894119477,15,14.7252348677911,25.8140782226379
"104",10500000,1205.91475360877,72.3781794104427,16,18.0945448526107,31.5909704878214
"105",10600000,1221.02098956657,80.0960819496917,16,20.0240204874229,34.9596105024129
"106",10700000,1235.66687931904,93.5264666378339,16,23.3816166594585,40.8215828506973
"107",10800000,1249.34720022478,106.471593033134,16,26.6178982582835,46.4717540659192
"108",10900000,1263.79882710794,120.671581460609,17,29.2671574336715,50.913343924713
"109",1.1e+07,1272.96285337596,134.939648452496,17,32.7276719796092,56.9332783045068
"110",11100000,1282.51568643542,148.159674746048,17,35.9339993197124,62.5110269113488
"111",11200000,1295.93822215399,157.618373545188,17,38.2280707449925,66.5018089928626
"112",11300000,1306.89636615037,162.022429563585,17,39.2962112241093,68.3599533547273
"113",11400000,1310.71893016374,158.733389897985,17,38.4985019330437,66.9722529065371
"114",11500000,1315.61504882894,147.876208395387,18,34.8547565775111,60.4403648985752
"115",11600000,1319.08710219566,127.746985823256,18,30.1102533172555,52.2130944634877
"116",11700000,1327.02595634858,111.977944523087,18,26.3934546385353,45.767929141595
"117",11800000,1340.66360097501,91.3001354674738,18,21.5196483041004,37.3164389513493
"118",11900000,1335.97943572794,75.2285458344492,18,17.7315382994473,30.7476152544167
"119",1.2e+07,1292.04513236318,62.7604012428216,18,14.7927684362626,25.6516013864436
"120",12100000,1195.81561377757,57.2789195529628,18,13.5007708116463,23.4111953257601
"121",12200000,1203.41730477355,59.4147735446895,18,14.004196425371,24.2841673611593
"122",12300000,1218.32955170013,68.2573401633167,17,16.5548366598276,28.7989052025103
"123",12400000,1243.11506609979,83.3355707913371,17,20.2118447496365,35.1606610728528
"124",12500000,1275.0666622889,94.331611367575,17,22.8787763237193,39.8000731771091
"125",12600000,1349.54080247014,105.160390907031,17,25.5051411377019,44.3689150726403
"126",12700000,1354.83275986729,116.978882595078,17,28.3715464062491,49.355332957462
"127",12800000,1331.63637529355,129.452067587459,17,31.3967381245701,54.6179768183197
"128",12900000,1292.59642050255,140.693476630047,17,34.1231802930032,59.3609139527807
"129",1.3e+07,1287.14259497838,149.362480608179,17,36.2257225912817,63.0185106767234
"130",13100000,1294.47264858361,154.362978641015,17,37.4385215071687,65.1283038281769
"131",13200000,1291.97430686626,154.09876469286,17,37.3744402121097,65.0168275762766
"132",13300000,1304.46638651593,148.04670560255,17,35.9066002778845,62.4633633538969
"133",13400000,1255.11598366907,136.12364286169,17,33.0148328036827,57.4328252055303
"134",13500000,1100.25329776839,132.196633531169,17,32.0623931411811,55.7759547624619
"135",13600000,1104.44486932438,117.737724943163,17,28.5555927094458,49.6755011444122
"136",13700000,1201.53896010554,97.5366830006866,17,23.6561203755422,41.1523461181348
"137",13800000,1226.24984795505,98.3426291993405,17,23.8515910405784,41.4923882017821
"138",13900000,1233.79981251198,92.6873299450939,17,22.4799795011822,39.1063235422863
"139",1.4e+07,1442.70967086697,114.698093380668,17,27.8183737685559,48.3930301162502
"140",14100000,1708.22140143434,101.557031352818,18,23.9372218489176,41.5086652517382
