"","D","mean.GR","sd.GR","N","se.GR","CL95.GR"
"1",2e+05,2887.81409914362,NA,1,NA,NA
"2",3e+05,1.31056833424421e-06,NA,1,NA,NA
"3",4e+05,18339.0677382809,12635.6965112371,3,7295.22278216114,17168.3105442713
"4",5e+05,17944.6480285746,15880.4828399942,4,7940.24141999711,16927.3781538786
"5",6e+05,8981.04763511761,16251.0479510417,5,7267.68958482757,14644.7460757961
"6",7e+05,10678.4096429498,17400.4451128328,6,7103.70197062427,13803.7735879748
"7",8e+05,15964.8495218644,18170.8935408945,7,6867.95220129098,13011.8753013467
"8",9e+05,16039.8178615819,18167.4229996877,8,6423.15399988182,11944.163415239
"9",1e+06,14918.370415772,19915.8529327434,9,6638.61764424781,12169.3358586305
"10",1100000,13447.7963983992,19651.5631709843,10,6214.36992029913,11263.3038833125
"11",1200000,11465.5538610176,17343.8413031663,11,5229.36491146102,9391.33705595646
"12",1300000,8552.74733889676,16327.8374174915,12,4713.44066413659,8400.7066399821
"13",1400000,1142.39052096738,10813.1462071752,12,3121.48643674968,5563.3864313471
"14",1500000,3603.30875179242,11663.7279981698,12,3367.02824974895,6001.01254904727
"15",1600000,0.000154089767861784,16041.0214066138,11,4836.54993270882,8685.88659905584
"16",1700000,8131.50148039509,19966.2392868476,12,5763.75681348297,10272.6720424597
"17",1800000,8143.48733170801,18677.0442638249,12,5391.59826669292,9609.37849578723
"18",1900000,8615.95601640011,19344.2492228854,12,5584.20374805203,9952.65684836343
"19",2e+06,8919.58250694531,18550.5907992283,12,5355.09429578054,9544.31792269831
"20",2100000,9252.53668917921,18155.3465625241,13,5035.38715038457,8917.33526633921
"21",2200000,9467.81979459161,18684.8635666446,13,5182.24874342969,9177.41736605065
"22",2300000,9539.70754670732,17487.8531821583,13,4850.25779585059,8589.48350981749
"23",2400000,8965.78095045178,16608.4663319809,13,4606.35976667495,8157.55634473496
"24",2500000,8309.00501398097,14375.84404132,13,3987.14175531174,7060.96248901529
"25",2600000,6427.1595072569,10927.3975455896,13,3030.71478138483,5367.19402006545
"26",2700000,5854.45505563485,5739.7452159631,13,1591.91889878877,2819.18234156769
"27",2800000,0.358503333143913,9818.11346805486,12,2834.24522685788,5051.43999748728
"28",2900000,8652.31249923073,17342.9698132945,12,5006.48414512656,8922.99438941469
"29",3e+06,15143.8095326091,20749.3173352979,13,5754.82519871464,10191.4121324705
"30",3100000,9533.61646154909,20616.2018716256,13,5717.90561180483,10126.0300030459
"31",3200000,10921.0946210779,18886.8118611003,13,5238.25912271067,9276.60801724123
"32",3300000,17631.3770300425,18446.8650993481,13,5116.23984517435,9060.52000369797
"33",3400000,17659.847786343,17249.4833166007,14,4610.11833354235,8119.84814798979
"34",3500000,17273.348798604,15710.4992183047,14,4198.8075321483,7395.40226454076
"35",3600000,16646.9752624784,14629.2111969672,14,3909.82115270059,6886.40762531862
"36",3700000,18664.9432724526,13613.5338765636,14,3638.36997066724,6408.29790703521
"37",3800000,14664.6608039338,12034.1115436599,14,3216.25159647119,5664.81653606688
"38",3900000,14947.4657396758,10407.3664928931,14,2781.48569392837,4899.05894522889
"39",4e+06,16801.8519281334,7328.77623311418,14,1958.69783776036,3449.87435456768
"40",4100000,15277.4925982799,5939.22507727176,14,1587.32467014907,2795.77103029909
"41",4200000,8481.95405581407,5833.2334550208,14,1558.99721755396,2745.87760092264
"42",4300000,10781.7953210252,8779.05188982596,13,2434.87090297896,4311.99419700216
"43",4400000,18625.730063865,12618.6391123705,14,3372.47316041682,5939.97116007093
"44",4500000,27587.7782454824,16704.0799598665,14,4464.35315507837,7863.11046171815
"45",4600000,31718.1550820261,17339.9200375158,14,4634.28856388861,8162.41941968268
"46",4700000,34953.7379250047,17469.0535440222,14,4668.80094521001,8223.20642671378
"47",4800000,37541.6271412078,16708.1291017827,14,4465.43533377556,7865.01651402623
"48",4900000,39632.3134153568,15852.1072819221,14,4236.65387909549,7462.06141902089
"49",5e+06,41299.3681743193,14701.9875614751,14,3929.27145426085,6920.66563860058
"50",5100000,42603.5041264656,13136.5346973136,14,3510.88657762969,6183.7601147352
"51",5200000,43565.2682990167,12085.3875645786,14,3229.95568950224,5688.95369402407
"52",5300000,18021.0468277653,9876.20052109655,14,2639.5256166444,4649.02322223325
"53",5400000,12315.4363346054,7271.10570761756,14,1943.28474149439,3422.72711189075
"54",5500000,11875.1293415763,7422.64795535858,14,1983.78611082785,3494.06258421055
"55",5600000,3998.28791682259,11122.6141530868,13,3084.85812662739,5463.07827832594
"56",5700000,7463.73925995028,12437.8823625712,14,3324.16388698141,5854.88354711722
"57",5800000,4861.21130199032,17763.4895886476,14,4747.49228816038,8361.80628665
"58",5900000,5681.5294382786,19224.0907250888,14,5137.85436182436,9049.35496361649
"59",6e+06,7276.84236582735,20283.0559469464,14,5420.87472216009,9547.84159290646
"60",6100000,7670.07335420248,20636.7442539851,14,5515.40189834915,9714.33326643444
"61",6200000,7932.23788546492,20931.3190399323,14,5594.13032147748,9852.99843606394
"62",6300000,8112.07285276007,21233.2818325655,14,5674.83327244797,9995.1413615952
"63",6400000,8193.58148849308,21870.7499222313,14,5845.2037857716,10295.2166735493
"64",6500000,7769.90300441714,20573.0153534416,14,5498.36963324417,9684.33416526983
"65",6600000,8338.60802709273,18982.245698562,14,5073.21855968446,8935.51127017354
"66",6700000,14823.1930444443,15728.87915069,14,4203.71977570386,7404.05424890456
"67",6800000,13343.1332641708,8668.09519527637,14,2316.64588690468,4080.33188160643
"68",6900000,11882.0461363484,7366.8560789674,14,1968.87510465492,3467.79967790356
"69",7e+06,8353.41783259703,7796.27395164088,14,2083.64185860503,3669.93952488587
"70",7100000,0.120432794140631,9995.66945741177,13,2772.29990471442,4909.55848494999
"71",7200000,4747.76974453435,20258.3444823767,14,5414.2703054497,9536.20916681357
"72",7300000,6335.33169936254,18682.9009607992,15,4823.90428533452,8456.5471232326
"73",7400000,8638.29196460294,20676.092875386,15,5338.54422473385,9358.73685205021
"74",7500000,8881.21290400767,19872.0443804704,15,5130.93979604378,8994.79583449173
"75",7600000,9024.43377305546,19100.1993149518,15,4931.65025707005,8645.43123730803
"76",7700000,6388.55930904204,18616.7384727867,15,4806.82120438678,8426.59962210085
"77",7800000,9064.23396529094,18022.9175671356,15,4653.49730583901,8157.81510721551
"78",7900000,9331.43251888159,17342.2638877093,15,4477.75328150882,7849.72698285262
"79",8e+06,9348.05932449226,15321.6645070915,15,3956.03676480951,6935.13165768221
"80",8100000,7915.59986508688,13462.6153351594,16,3365.65383378986,5876.04008841029
"81",8200000,8816.25224766555,11044.4428604212,16,2761.11071510531,4820.57812589381
"82",8300000,10648.3763394967,8165.49940335983,16,2041.37485083996,3564.00302924235
"83",8400000,1.44016880945824,6240.84056680736,16,1560.21014170184,2723.9454179579
"84",8500000,9324.54350412051,6189.52762159438,16,1547.3819053986,2701.54880960065
"85",8600000,12905.7370808037,6937.35491124903,16,1734.33872781226,3027.95367402114
"86",8700000,5311.22060000092,18178.0391330428,16,4544.50978326069,7934.18544727256
"87",8800000,7455.81887495149,18899.2142583029,16,4724.80356457572,8248.95741700459
"88",8900000,10178.3694811052,23461.6116305176,16,5865.4029076294,10240.3111912134
"89",9e+06,10859.7455631652,27099.3710763699,16,6774.84276909247,11828.0873998967
"90",9100000,11538.1110570945,28930.1380823439,16,7232.53452058598,12627.1639575955
"91",9200000,11528.0760708893,29476.6556327514,16,7369.16390818785,12865.7029751093
"92",9300000,11496.0323936357,29532.2844324474,15,7625.2030521553,13367.3649228089
"93",9400000,11269.7208804754,28604.5637896117,15,7385.66661217959,12947.4454815082
"94",9500000,10983.9988295972,27264.7310290896,15,7039.72328096591,12340.9894016746
"95",9600000,10810.7144222106,23604.127245405,15,6094.55944821428,10684.0696084816
"96",9700000,10075.065052588,16549.9865137635,15,4273.18814318421,7491.11399435037
