"D","d18Oc","YEARMARKER","mean.day","se.day","mean.GR","se.GR","year","day_new","day_new_lower","day_new_upper"
200,-0.475,1,97.3246257711403,0,2.88781409914362,0,1,97.4506719446204,97.4502169223453,97.4507775883378
300,-0.825,0,124.493377146965,76.2490606153629,1.31056833424421e-09,0,1,558.773214634636,557.458739870917,559.078399694996
400,-1.543,0,169.578594538168,26.6882474000608,18.3390677382809,7.29522278216114,1,656.127805341268,654.861081803701,656.422484296548
500,-1.566,0,170.62093210084,32.7121149511183,17.9446480285746,7.94024141999711,1,753.495759510915,752.290159608555,753.769875249602
600,-1.716,0,165.67061793647,33.3517850973978,8.98104763511761,7.26768958482757,1,850.91837919975,850.173760427032,851.119396290741
700,-1.695,0,177.718348529437,31.680796901393,10.6784096429498,7.10370197062427,1,948.312498873046,947.841249965973,948.468027965265
800,-1.639,0,191.835225829799,30.8611981072317,15.9648495218644,6.86795220129098,1,1045.66707906846,1045.20795244529,1045.81497061232
900,-1.601,0,198.410005178048,28.0737989640422,16.0398178615819,6.42315399988182,1,1143.02171837435,1142.55721633636,1143.1609938049
1000,-1.686,0,204.882779309936,27.9916650543538,14.918370415772,6.63861764424781,1,1240.3863791454,1240.05736999781,1240.50771271008
1100,-1.696,0,211.97034024384,25.4093385674583,13.4477963983992,6.21436992029913,1,1337.7583693046,1337.51116660295,1337.85717586455
1200,-1.573,0,220.08853911479,21.8387766544376,11.4655538610176,5.22936491146102,1,1435.13457481211,1434.93918817377,1435.21633432848
1300,-1.165,0,230.095334673815,22.3490443794958,8.55274733889676,4.71344066413659,1,1532.54124964323,1532.54095272583,1532.54252850802
1400,-0.652,1,251.277242751475,29.1679336839172,1.14239052096738,3.12148643674968,2,1583.18582269481,1532.54097508551,1802.71147024108
1500,-0.673,0,115.808717002302,35.5657356626245,3.60330875179242,3.36702824974895,2,1628.03437601688,1532.54110498747,1837.28058783439
1600,-0.887,0,365.966284108433,44.4178918138012,1.54089767861784e-07,4.83654993270882,2,1661.91590778406,1532.54313191844,1855.64098537857
1700,-1.143,0,412.288194061002,48.3195615700136,8.13150148039509,5.76375681348297,2,1686.51212218906,1553.8901321375,1861.79770990087
1800,-1.464,0,411.972302881375,43.2488000453709,8.14348733170801,5.39159826669292,2,1711.34297472964,1576.99670913226,1868.14502544522
1900,-1.586,0,338.17353591307,41.4920064244691,8.61595601640011,5.58420374805203,2,1735.83689978578,1592.73156914447,1874.35289284417
2000,-1.628,0,228.578292378527,38.0248284406608,8.91958250694531,5.35509429578054,2,1760.073694524,1615.45950115576,1880.98222120099
2100,-1.702,0,227.207365784304,32.1837687951703,9.25253668917921,5.03538715038457,2,1780.94298342583,1643.91307690782,1883.3997101885
2200,-1.66,0,230.172732414098,27.0709295606575,9.46781979459161,5.18224874342969,2,1802.60698365571,1676.2322359092,1886.55927650139
2300,-1.55,0,234.47972046397,23.3668434331706,9.53970754670732,4.85025779585059,2,1823.45123456426,1703.23847075578,1889.74914266977
2400,-1.637,0,269.948096643635,20.9856253147637,8.96578095045178,4.60635976667495,2,1844.8670346234,1743.83225849572,1892.2364216425
2500,-1.364,0,239.198437798074,18.7560772891474,8.30900501398097,3.98714175531174,2,1868.31754419488,1798.63207900437,1896.28554157639
2600,-0.736,0,252.8246248899,17.1063031326503,6.4271595072569,3.03071478138483,2,1897.54124964323,1897.54095272583,1897.54252850802
2700,-0.139,1,338.859614461996,12.7363711846449,5.85445505563485,1.59191889878877,3,1944.16613820467,1904.66966229803,1994.49456600201
2800,-0.41,0,468.41071587945,16.6112687346484,0.000358503333143913,2.83424522685788,3,2011.50441957652,1924.07630235064,2214.69077507638
2900,-0.966,0,515.798917245645,18.6747459416088,8.65231249923073,5.00648414512656,3,2049.57765557235,1950.12170820383,2225.21565427869
3000,-1.42,0,533.956010565065,22.9337995718119,15.1438095326091,5.75482519871464,3,2070.22563007132,1969.55008581871,2229.82643749968
3100,-1.669,0,454.961489181014,26.0891171752027,9.53361646154909,5.71790561180483,3,2105.58821315646,2016.27760765939,2235.48119834477
3200,-1.736,0,464.476563212329,29.3722846069107,10.9210946210779,5.23825912271067,3,2135.76582866193,2060.86591737405,2240.86863992359
3300,-1.392,0,468.78215668212,34.1706737695336,17.6313770300425,5.11623984517435,3,2151.65923245581,2084.76748998944,2243.70172343019
3400,-1.288,0,555.686797004384,35.4724798786103,17.659847786343,4.61011833354235,3,2166.89026942507,2107.71726614084,2246.27960266632
3500,-1.465,0,560.595190999559,38.5605831756001,17.273348798604,4.1988075321483,3,2182.25654915162,2131.05889392978,2249.15196910796
3600,-1.364,0,568.169285214431,40.1852315291407,16.6469752624784,3.90982115270059,3,2198.06631571517,2156.32550367561,2251.88603116081
3700,-1.372,0,574.201719557955,39.0634040343089,18.6649432724526,3.63836997066724,3,2212.10312811107,2178.66879660824,2254.0378993732
3800,-1.259,0,581.089058315025,35.7850381889885,14.6646608039338,3.21625159647119,3,2230.08760795012,2206.99238808178,2257.0338900224
3900,-1.133,0,532.238225867612,30.9712617215421,14.9474657396758,2.78148569392837,3,2247.45096500446,2236.8649555368,2259.98222843569
4000,-0.543,0,386.707784572783,24.182515373009,16.8018519281334,1.95869783776036,3,2262.54124964323,2262.54095272583,2262.54252850802
4100,-0.44,1,325.945375746293,18.5679789078689,15.2774925982799,1.58732467014907,4,2296.99907981751,2290.30132500037,2305.42113771345
4200,-0.611,0,300.318255027341,16.694967788383,8.48195405581407,1.55899721755396,4,2360.12361348256,2341.76688600143,2384.39590445568
4300,-1.037,0,518.158011302837,16.0447240343065,10.7817953210252,2.43487090297896,4,2410.57777435195,2389.17192704116,2437.69238299919
4400,-1.288,0,533.401266755947,18.2734268379132,18.625730063865,3.37247316041682,4,2439.33162152497,2418.39413393753,2463.83870705285
4500,-1.562,0,536.777157381402,21.8758452123404,27.5877782454824,4.46435315507837,4,2458.62015534501,2438.47511600371,2481.28959231379
4600,-1.588,0,540.037482985601,25.7170426515247,31.7181550820261,4.63428856388861,4,2475.33804884757,2456.45671617636,2496.28883613044
4700,-1.612,0,543.150991571459,29.2277902500438,34.9537379250047,4.66880094521001,4,2490.54178201924,2472.37109878513,2509.51744138668
4800,-1.556,0,546.306250016415,33.2920557111327,37.5416271412078,4.46543533377556,4,2504.6107257436,2486.59953064746,2522.64118571201
4900,-1.54,0,549.517884418132,37.4594172241305,39.6323134153568,4.23665387909549,4,2517.8704618268,2500.23170532901,2534.7373902655
5000,-1.458,0,552.88384668284,41.3033415786273,41.2993681743193,3.92927145426085,4,2530.55750024481,2512.67220912392,2546.35741091384
5100,-1.324,0,556.857984117416,43.9936448565277,42.6035041264656,3.51088657762969,4,2542.81960232981,2525.03187648077,2558.04585611519
5200,-1.349,0,564.710701269529,44.4834808738751,43.5652682990167,3.22995568950224,4,2554.8248882373,2537.38057173251,2569.24632696444
5300,-0.99,0,648.142751736112,42.2728632672408,18.0210468277653,2.6395256166444,4,2584.26232481345,2568.37196167465,2595.3867501159
5400,-0.504,0,620.631494273768,33.0407966218572,12.3154363346054,1.94328474149439,4,2627.54124964323,2627.54095272583,2627.54252850802
5500,-0.389,1,641.893379727632,32.3880410081146,11.8751293415763,1.98378611082785,5,2640.7197542689,2629.27060531136,2653.84204807254
5600,-0.723,0,652.757563354882,32.165425504566,3.99828791682259,3.08485812662739,5,2686.97617273692,2633.4285703343,2833.71017018434
5700,-1.136,0,819.003728629062,35.9022970743027,7.46373925995028,3.32416388698141,5,2712.59481894338,2638.41916652036,2861.31701727889
5800,-1.445,0,843.552740742603,33.5018046033069,4.86121130199032,4.74749228816038,5,2747.65135749181,2645.8737859338,2915.82533743036
5900,-1.481,0,856.696340549456,31.4777920067872,5.6815294382786,5.13785436182436,5,2782.25511671828,2657.23991242183,2939.02158056303
6000,-1.555,0,779.824199868581,37.6223520455018,7.27684236582735,5.42087472216009,5,2808.87609381522,2669.03948512319,2952.92542523359
6100,-1.775,0,730.867711575908,40.6339631828216,7.67007335420248,5.51540189834915,5,2836.35830433296,2686.74832053134,2964.70768872847
6200,-1.72,0,808.018164062503,42.3651639945995,7.93223788546492,5.59413032147748,5,2862.90580945356,2712.20804706133,2972.95613109068
6300,-1.656,0,821.10213811561,42.1557245356776,8.11207285276007,5.67483327244797,5,2889.57950360627,2736.94132900144,2978.28532224724
6400,-1.642,0,814.133586559951,38.5198001653522,8.19358148849308,5.8452037857716,5,2916.7409790012,2784.05628608946,2984.18774636075
6500,-1.66,0,804.527701263815,34.9459551130837,7.76990300441714,5.49836963324417,5,2943.83752427515,2855.4114517344,2986.75346022997
6600,-1.562,0,747.559559258202,31.3309124247338,8.33860802709273,5.07321855968446,5,2969.50188833801,2946.73074813869,2989.41706821095
6700,-1.201,0,718.876247037749,26.5489679446002,14.8231930444443,4.20371977570386,5,2980.81021800189,2969.21091750204,2990.96852674028
6800,-0.626,0,685.525881805789,21.0239945632642,13.3431332641708,2.31664588690468,5,2992.54124964323,2992.54095272583,2992.54252850802
6900,-0.598,1,693.252195974286,13.2660781570183,11.8820461363484,1.96887510465492,6,3002.7786464328,2993.6990201059,3014.50447446667
7000,-0.667,0,706.792635670118,12.7005965283712,8.35341783259703,2.08364185860503,6,3018.10682311247,2995.38840192902,3046.62476859712
7100,-0.913,0,804.89242605394,16.2861936342324,0.000120432794140631,2.77229990471442,6,3059.37725690572,2997.40430225782,3250.86284179518
7200,-1.61,0,822.068938468879,20.6540673058715,4.74776974453435,5.4142703054497,6,3087.16761913846,3001.99049948983,3276.53653475999
7300,-1.787,0,836.500041569244,23.6298073177672,6.33533169936254,4.82390428533452,6,3113.47911730382,3006.54369851906,3295.16047329243
7400,-1.722,0,817.248612728125,28.1184456905637,8.63829196460294,5.33854422473385,6,3133.94192905685,3010.56601548433,3304.84457984147
7500,-1.933,0,833.555035698468,32.7809431966561,8.88121290400767,5.13093979604378,6,3152.92190146227,3015.44802657164,3317.16767192574
7600,-1.902,0,851.870842007568,37.4789599359193,9.02443377305546,4.93165025707005,6,3172.05075193964,3020.25978544542,3323.90887850979
7700,-1.786,0,855.371787892528,40.8601610799667,6.38855930904204,4.80682120438678,6,3197.89229631739,3032.91454910432,3332.80068908629
7800,-1.819,0,853.852081014518,42.6091388516173,9.06423396529094,4.65349730583901,6,3216.55024023893,3037.9208929469,3337.73938715749
7900,-1.721,0,856.712756756959,42.4307496207598,9.33143251888159,4.47775328150882,6,3234.31072013037,3043.23937111216,3341.90229200448
8000,-1.688,0,861.563228825157,40.435785485113,9.34805932449226,3.95603676480951,6,3251.43050462621,3047.81015688803,3346.17247911888
8100,-1.709,0,876.0120818143,36.4950358453148,7.91559986508688,3.36565383378986,6,3271.10145314323,3055.19082810931,3350.96384466137
8200,-1.507,0,841.512690379442,33.7026156270795,8.81625224766555,2.76111071510531,6,3286.45175249074,3059.59676544499,3354.42243868301
8300,-1.008,0,764.2645011531,28.4933999208644,10.6483763394967,2.04137485083996,6,3298.02056794869,3062.31791309015,3357.54177960338
8400,-0.641,0,796.343302876061,22.6005778674266,0.00144016880945824,1.56021014170184,6,3357.54124964323,3357.54095272583,3357.54252850802
8500,-0.608,1,807.012454218519,16.8910783002065,9.32454350412051,1.5473819053986,7,3377.00098898413,3361.11405271988,3392.60022667776
