D,d18Oc,YEARMARKER,D_err,d18Oc_err
150,-0.797,1,300,0.14
750,-0.818,0,300,0.14
1050,-0.906,0,150,0.14
1350,-0.921,0,150,0.14
1650,-0.96,0,150,0.14
1950,-0.826,0,150,0.14
2250,-0.78,0,150,0.14
2550,-1.054,0,150,0.14
2850,-1.335,0,150,0.14
3150,-1.37,0,150,0.14
3450,-1.66,0,150,0.14
3750,-1.624,0,150,0.14
4350,-1.693,0,300,0.14
4650,-1.798,0,150,0.14
4950,-1.805,0,150,0.14
5250,-1.601,0,150,0.14
5550,-1.464,0,150,0.14
5850,-1.723,0,150,0.14
6150,-1.734,0,150,0.14
6450,-1.346,0,150,0.14
6750,-1.489,0,150,0.14
7050,-1.735,0,150,0.14
7350,-1.688,0,150,0.14
7650,-1.262,0,150,0.14
7950,-1.454,0,150,0.14
8250,-1.405,0,150,0.14
8550,-1.362,0,150,0.14
8850,-1.252,0,150,0.14
9150,-1.265,0,150,0.14
9450,-0.98,0,150,0.14
9750,-1.015,0,150,0.14
10350,-0.981,0,300,0.14
10650,-0.997,0,150,0.14
11250,-0.498,1,300,0.14
11550,-0.702,0,150,0.14
11850,-0.993,0,150,0.14
12450,-1.397,0,300,0.14
12750,-1.389,0,150,0.14
13050,-1.464,0,150,0.14
13350,-1.542,0,150,0.14
13650,-1.412,0,150,0.14
13950,-1.411,0,150,0.14
14250,-1.566,0,150,0.14
14550,-1.397,0,150,0.14
14850,-1.554,0,150,0.14
15150,-1.448,0,150,0.14
15450,-1.644,0,150,0.14
15750,-1.578,0,150,0.14
16050,-1.634,0,150,0.14
16350,-1.459,0,150,0.14
16650,-1.339,0,150,0.14
16950,-1.216,0,150,0.14
17250,-1.272,0,150,0.14
17550,-1.228,0,150,0.14
17850,-1.099,0,150,0.14
18150,-1.059,0,150,0.14
18450,-0.74,1,150,0.14
18750,-0.793,0,150,0.14
19350,-1.17,0,300,0.14
19650,-1.193,0,150,0.14
19950,-1.259,0,150,0.14
20250,-1.352,0,150,0.14
20550,-1.441,0,150,0.14
20850,-1.302,0,150,0.14
21150,-1.524,0,150,0.14
21450,-1.467,0,150,0.14
21750,-1.589,0,150,0.14
22050,-1.606,0,150,0.14
22350,-1.631,0,150,0.14
22650,-1.607,0,150,0.14
22950,-1.595,0,150,0.14
23250,-1.273,0,150,0.14
23550,-1.184,0,150,0.14
23850,-0.871,0,150,0.14
24050,-0.402,1,100,0.14
24250,-1.494,0,100,0.14
24450,-1.721,0,100,0.14
24650,-1.737,0,100,0.14
24850,-1.834,0,100,0.14
25050,-1.588,0,100,0.14
25250,-1.712,0,100,0.14
25450,-1.588,0,100,0.14
25650,-1.69,0,100,0.14
25850,-1.601,0,100,0.14
26050,-1.513,0,100,0.14
26250,-1.268,0,100,0.14
26450,-0.756,0,100,0.14
26650,-0.524,1,100,0.14
26850,-0.525,0,100,0.14
27050,-0.838,0,100,0.14
27250,-1.246,0,100,0.14
27450,-1.514,0,100,0.14
27650,-1.653,0,100,0.14
27850,-1.795,0,100,0.14
28050,-1.677,0,100,0.14
28250,-1.686,0,100,0.14
28450,-1.63,0,100,0.14
28650,-1.774,0,100,0.14
28850,-1.737,0,100,0.14
29050,-1.611,0,100,0.14
29250,-1.667,0,100,0.14
29450,-1.496,0,100,0.14
29650,-1.409,0,100,0.14
29850,-1.114,0,100,0.14
30050,-1.148,0,100,0.14
30250,-0.943,0,100,0.14
30450,-0.837,0,100,0.14
30650,-0.832,1,100,0.14
30850,-1.179,0,100,0.14
31050,-1.494,0,100,0.14
31250,-1.544,0,100,0.14
31450,-1.609,0,100,0.14
31650,-1.71,0,100,0.14
31850,-1.777,0,100,0.14
32050,-1.747,0,100,0.14
32250,-1.672,0,100,0.14
32450,-1.782,0,100,0.14
32650,-1.735,0,100,0.14
32850,-1.762,0,100,0.14
33050,-1.727,0,100,0.14
33250,-1.411,0,100,0.14
33450,-1.359,0,100,0.14
33650,-1.07,0,100,0.14
33850,-0.917,0,100,0.14
34050,-0.873,0,100,0.14
34250,-0.798,1,100,0.14
34450,-0.826,0,100,0.14
34650,-1.21,0,100,0.14
34850,-1.521,0,100,0.14
35050,-1.727,0,100,0.14
35250,-1.698,0,100,0.14
35450,-1.598,0,100,0.14
35650,-1.627,0,100,0.14
35850,-1.661,0,100,0.14
36050,-1.705,0,100,0.14
36250,-1.77,0,100,0.14
36450,-1.707,0,100,0.14
36650,-1.557,0,100,0.14
36850,-1.496,0,100,0.14
37050,-1.547,0,100,0.14
37250,-1.5,0,100,0.14
37450,-1.49,0,100,0.14
37650,-1.183,0,100,0.14
37850,-1.021,0,100,0.14
38050,-0.812,0,100,0.14
38250,-0.567,1,100,0.14
38450,-0.854,0,100,0.14
38650,-1.376,0,100,0.14
38850,-1.407,0,100,0.14
39050,-1.671,0,100,0.14
39250,-1.669,0,100,0.14
39450,-1.539,0,100,0.14
39650,-1.607,0,100,0.14
39850,-1.629,0,100,0.14
40050,-1.667,0,100,0.14
40250,-1.716,0,100,0.14
40450,-1.735,0,100,0.14
40650,-1.651,0,100,0.14
40850,-1.539,0,100,0.14
41050,-1.39,0,100,0.14
41250,-1.352,0,100,0.14
41450,-1.266,0,100,0.14
41650,-1.28,0,100,0.14
41850,-1.001,0,100,0.14
42050,-0.732,0,100,0.14
42250,-0.655,0,100,0.14
42450,-0.601,1,100,0.14
42650,-0.668,0,100,0.14
42850,-0.826,0,100,0.14
43050,-1.066,0,100,0.14
43250,-1.487,0,100,0.14
43450,-1.519,0,100,0.14
43650,-1.503,0,100,0.14
43850,-1.521,0,100,0.14
44050,-1.537,0,100,0.14
44250,-1.28,0,100,0.14
44650,-1.72,0,200,0.14
44850,-1.704,0,100,0.14
45050,-1.706,0,100,0.14
45250,-1.773,0,100,0.14
45450,-1.668,0,100,0.14
45650,-1.686,0,100,0.14
45850,-1.718,0,100,0.14
46050,-1.522,0,100,0.14
46250,-1.435,0,100,0.14
46450,-1.306,0,100,0.14
46850,-1.172,0,200,0.14
47050,-0.891,0,100,0.14
47250,-0.632,0,100,0.14
47450,-0.589,1,100,0.14
47650,-0.783,0,100,0.14
47850,-1.268,0,100,0.14
48050,-1.55,0,100,0.14
48250,-1.749,0,100,0.14
48450,-1.819,0,100,0.14
48650,-1.74,0,100,0.14
48850,-1.747,0,100,0.14
49050,-1.764,0,100,0.14
49250,-1.429,0,100,0.14
49450,-1.261,0,100,0.14
49650,-1.464,0,100,0.14
50050,-1.577,0,200,0.14
50250,-1.687,0,100,0.14
50450,-1.572,0,100,0.14
50650,-1.53,0,100,0.14
50850,-1.54,0,100,0.14
51050,-1.404,0,100,0.14
51250,-1.309,0,100,0.14
51450,-1.189,0,100,0.14
51650,-1.004,0,100,0.14
51850,-0.662,0,100,0.14
52050,-0.516,0,100,0.14
52250,-0.374,1,100,0.14
52450,-0.515,0,100,0.14
52650,-0.953,0,100,0.14
52850,-1.121,0,100,0.14
53050,-1.552,0,100,0.14
53250,-1.498,0,100,0.14
53450,-1.534,0,100,0.14
53650,-1.574,0,100,0.14
53850,-1.704,0,100,0.14
54050,-1.625,0,100,0.14
54250,-1.657,0,100,0.14
54450,-1.613,0,100,0.14
54650,-1.594,0,100,0.14
54850,-1.185,0,100,0.14
55050,-1.255,0,100,0.14
55250,-1.137,0,100,0.14
55450,-1.031,0,100,0.14
55650,-0.721,0,100,0.14
55850,-0.523,0,100,0.14
56050,-0.332,1,100,0.14
56250,-0.606,0,100,0.14
56450,-1.149,0,100,0.14
56650,-1.505,0,100,0.14
56850,-1.505,0,100,0.14
57050,-1.608,0,100,0.14
57250,-1.715,0,100,0.14
57450,-1.607,0,100,0.14
57650,-1.658,0,100,0.14
57850,-1.615,0,100,0.14
58050,-1.587,0,100,0.14
58250,-1.576,0,100,0.14
58450,-1.454,0,100,0.14
58650,-1.34,0,100,0.14
58850,-1.075,0,100,0.14
59050,-0.701,0,100,0.14
59250,-0.687,0,100,0.14
59450,-0.43,1,100,0.14
59650,-0.665,0,100,0.14
59850,-1.327,0,100,0.14
60000,-1.746,0,75,0.14
60150,-1.738,0,75,0.14
60300,-1.729,0,75,0.14
60450,-1.685,0,75,0.14
60600,-1.685,0,75,0.14
60750,-1.656,0,75,0.14
60900,-1.637,0,75,0.14
61050,-1.752,0,75,0.14
61200,-1.696,0,75,0.14
61350,-1.769,0,75,0.14
61500,-1.73,0,75,0.14
61650,-1.68,0,75,0.14
61800,-1.53,0,75,0.14
61950,-1.551,0,75,0.14
62100,-1.384,0,75,0.14
62250,-1.396,0,75,0.14
62400,-1.265,0,75,0.14
62550,-0.934,0,75,0.14
62700,-0.661,0,75,0.14
