"D","d18Oc","YEARMARKER","mean.day","se.day","mean.GR","se.GR","year","day_new","day_new_lower","day_new_upper"
150,-0.797,1,274.9689178,0,53.14450663,0,1,364.520146533702,315.970779446683,415.687198067019
750,-0.818,0,286.1954006,0,53.75413661,0,1,370.943770985143,322.382318897536,422.218758354483
1050,-0.906,0,291.8079702,4.972065265,53.9494707,5.922410122,1,377.394771221751,328.490189130147,428.971003864039
1350,-0.921,0,297.4069711,6.568785657,54.07705654,9.368315398,1,383.95985811106,334.569388816112,435.05203783763
1650,-0.96,0,303.0284142,9.914937816,54.09863636,9.650020305,1,390.553135165338,341.845405976977,441.568797081847
1950,-0.826,0,334.3409314,20.16710906,18.06899833,8.369847995,1,416.435057827507,359.681607178264,495.448692362135
2250,-0.78,0,409.9590025,24.32086884,10.03824861,2.695520284,1,453.849992465876,395.36016396765,532.265951805895
2550,-1.054,0,452.6261939,14.45519571,9.347650791,3.031955957,1,494.795780567447,434.336129529158,571.489212209846
2850,-1.335,0,473.2349437,6.880770492,18.15860213,2.471968081,1,514.130190060515,455.193901736973,587.637797002199
3150,-1.37,0,489.3027977,10.11116338,23.23662328,2.845193016,1,529.174345216511,470.162430959943,599.688383605474
3450,-1.66,0,501.6829941,17.01648119,26.63449006,3.890895526,1,542.477171585391,484.613250909935,609.097119233817
3750,-1.624,0,512.7823514,19.31491537,29.46377353,4.817944302,1,566.615083540329,509.764333183017,628.957408877692
4350,-1.693,0,534.6672069,11.21967159,53.75364634,4.095404291,1,573.083812054245,517.125139924971,634.583440157059
4650,-1.798,0,542.5629984,8.393019728,55.38460476,4.24566818,1,579.346522507573,523.779395013514,640.332230002445
4950,-1.805,0,550.8876228,7.475300244,51.57280746,4.336865982,1,586.097858769453,530.770458097761,646.315509175591
5250,-1.601,0,560.9542814,9.571836521,53.25720265,4.605460848,1,592.637242191773,538.150908671849,651.989579880288
5550,-1.464,0,569.6335604,11.15222472,52.87228701,4.723808668,1,599.210567500481,545.414198484904,657.645678552155
5850,-1.723,0,572.3589825,6.430261708,48.49961543,3.955403996,1,606.378116357537,552.627754365212,663.60447963084
6150,-1.734,0,578.5838121,5.959024748,48.59405839,3.646799066,1,613.521187732405,560.161985760908,670.363403956984
6450,-1.346,0,587.3766818,5.574365322,49.53056191,3.404520554,1,620.523711244665,567.452696387083,677.314303895519
6750,-1.489,0,591.9294099,5.073301302,48.9044198,3.151950593,1,627.608984659263,575.049595934225,683.569159811624
7050,-1.735,0,596.1284732,5.068286022,48.26364078,3.046232091,1,634.782525187966,582.381879202325,690.655584344838
7350,-1.688,0,602.1317628,5.116904042,49.29099707,2.947362479,1,641.81758328074,589.712009734073,697.379870326622
7650,-1.262,0,609.5085559,4.063104131,52.70209259,2.549614707,1,648.386547787049,596.449988237434,703.133628028671
7950,-1.454,0,614.3042521,4.70194708,54.55624622,2.568383137,1,654.730648336759,602.952080567232,708.925672569753
8250,-1.405,0,619.8427339,4.715440625,53.32467625,2.537936718,1,661.228930825642,609.783478604781,715.073996455635
8550,-1.362,0,625.8973444,4.62133803,53.51451241,2.635967894,1,667.696804758664,616.122261924089,720.843906052854
8850,-1.252,0,631.4860891,4.196195139,53.83107445,2.718800779,1,674.12532513212,623.062336253243,726.667498280594
9150,-1.265,0,637.9014359,4.230793042,55.4277892,2.991969843,1,680.375280237801,629.363984620699,732.973703579955
9450,-0.98,0,639.1273278,3.579268495,54.85979028,3.250791874,1,686.702761426107,635.816721888772,739.102313978258
9750,-1.015,0,633.8403449,4.011760534,52.94195897,3.676333008,1,699.803300719478,650.175640121535,750.975802939271
10350,-0.981,0,632.636421,5.058911064,80.4340729,4.373415903,1,704.103457757199,654.558846215319,755.223929116764
10650,-0.997,0,630.8295951,6.291347968,56.01841695,5.045921473,1,716.525524579713,667.84707459353,767.431653350835
11250,-0.498,1,687.1806454,7.222927628,52.53732635,5.320726173,2,727.739672144599,678.704146969128,778.376588029869
11550,-0.702,0,760.870408,11.22206836,24.85355263,5.02639622,2,752.438355646419,700.979999230213,803.762973708555
11850,-0.993,0,768.9167308,14.88729576,31.58092792,4.78461565,2,790.198768503943,738.477241145533,842.668165574277
12450,-1.397,0,858.7518793,12.55398841,34.50079384,4.152253028,2,807.32562757391,755.207424356938,859.588389556068
12750,-1.389,0,866.7098811,8.013145555,36.99901736,3.299677199,2,823.250875138159,770.753087754421,876.025360608067
13050,-1.464,0,874.3284576,6.291186298,42.36811073,2.842273104,2,837.072851018956,784.62360249425,889.692347817913
13350,-1.542,0,883.531374,6.442484162,47.94431358,2.718824099,2,849.298918826757,797.171549885605,901.934451966353
13650,-1.412,0,891.3438049,5.127236054,50.79245003,2.177559305,2,860.812100773317,808.070438964969,913.086311933796
13950,-1.411,0,897.639478,5.979147425,52.93682333,2.186622,2,871.842670108327,819.028386649484,923.954586869506
14250,-1.566,0,903.2534541,5.4782511,49.50379089,2.385947344,2,883.653488761116,831.058831489681,935.446513527351
14550,-1.397,0,909.6501158,4.729075097,53.81663814,2.641275492,2,894.515479242343,841.968423994594,946.507492609841
14850,-1.554,0,914.8788647,5.247794493,51.35000672,3.150366008,2,905.926975161028,853.412403594744,958.097687970215
15150,-1.448,0,920.7033107,5.315220528,55.88207899,3.614031408,2,916.431187751268,864.034651489634,968.632623020211
15450,-1.644,0,927.3811933,5.45500503,41.99683106,4.049062217,2,930.498881849439,878.930044235423,982.721216204424
15750,-1.578,0,932.6330955,5.969833595,40.4917724,4.453297399,2,945.05426137152,893.539577816831,996.655706920008
16050,-1.634,0,940.5855812,6.322397636,33.48006511,4.803392359,2,962.808452049585,910.755324288949,1013.81918635142
16350,-1.459,0,947.6390513,7.11372083,33.47840551,4.951357375,2,980.548912120439,929.219766505035,1031.79785143985
16650,-1.339,0,953.3489886,8.205746414,33.46456912,5.292101275,2,998.341285812221,947.352814288568,1049.77227350815
16950,-1.216,0,965.1414533,8.290914675,33.37737511,5.086804456,2,1016.31238440039,965.161538685217,1067.20024327245
17250,-1.272,0,976.6110928,8.683833553,32.83806746,5.316146956,2,1034.55684709773,984.029443075391,1086.17044369851
17550,-1.228,0,951.3613473,12.39517054,33.25613166,4.720742485,2,1052.4151593542,1002.26986511225,1103.11367451165
17850,-1.099,0,841.5234935,16.32647335,33.34028112,3.856055812,2,1070.18917228063,1021.12371384293,1120.6441123473
18150,-1.059,0,828.0853508,15.68832846,51.79306025,3.536666795,2,1081.52552457971,1032.84707459353,1132.43165335084
18450,-0.74,1,901.1284341,18.32268163,45.94352544,3.283646185,3,1083.92804649855,1033.89594091101,1135.10069478329
18750,-0.793,0,869.4849159,22.87800836,51.47212554,3.247169686,3,1088.21092583113,1037.38782953337,1139.75559372942
19350,-1.17,0,787.320886,29.39926664,0.01116243389,3.600226423,3,1117.80395825819,1042.92922764672,1289.76996404335
19650,-1.193,0,680.35338,35.31476408,0.005497684875,3.765325378,3,1147.74545840211,1050.4281878433,1368.32541878448
19950,-1.259,0,638.3223413,35.32419851,0.008795556908,3.979937755,3,1176.83370426416,1056.63935420105,1397.78102632408
20250,-1.352,0,631.1436577,38.92667796,0.0116922383,4.480454123,3,1205.08213918967,1063.99593166849,1415.92305145799
20550,-1.441,0,628.6922077,43.95123473,0.01298863499,5.153204326,3,1231.35789513302,1072.70188917661,1429.18747988264
20850,-1.302,0,628.433086,46.18476548,0.01372765283,5.448307951,3,1256.8271116211,1078.62020366064,1436.28108582276
21150,-1.524,0,627.0527801,46.69291586,0.01419270038,6.092834021,3,1277.9145462784,1088.52240584339,1445.92294233477
21450,-1.467,0,626.6055792,45.7600666,0.01449236662,6.494297157,3,1298.83785525242,1097.34656117356,1452.69265144531
21750,-1.589,0,625.5402686,46.20313659,0.0147434826,7.203101156,3,1319.04492342938,1116.21064022267,1458.81901090349
22050,-1.606,0,625.0800867,44.71940048,0.01563158017,7.427688196,3,1338.67254277411,1124.59861814616,1463.28460565452
22350,-1.631,0,625.2117439,43.25006728,0.01719882434,7.494772443,3,1357.37012185878,1137.19519764018,1469.54338684877
22650,-1.607,0,625.1567011,39.39560093,0.01731076799,7.448816854,3,1375.27139510625,1161.71622585288,1475.2909698789
22950,-1.595,0,624.8358778,38.14987076,0.01746002788,7.173574074,3,1394.78260295978,1193.219961184,1478.72467627062
23250,-1.273,0,626.3791747,38.93310136,0.01766899494,6.025169773,3,1417.70091005308,1257.88107501062,1488.15550845478
23550,-1.184,0,625.9912275,44.23404612,0.01798244291,5.30826398,3,1441.05869393852,1388.92721518252,1491.59401582885
23850,-0.871,0,627.2963814,41.63841957,14.23645272,3.390356092,3,1446.52552457971,1397.84707459353,1497.43165335084
24050,-0.402,1,1025.894812,44.43583775,2.802020113,1.114654794,4,1563.0343111019,1461.22854653953,1691.50103703615
24250,-1.494,0,875.0703133,42.03479919,10.5085107,5.088830968,4,1598.4537918675,1480.14274534014,1728.35991519908
24450,-1.721,0,886.7968112,43.17782169,2.689169e-06,6.434002027,4,1641.81568038304,1534.20667958908,1777.56332452144
24650,-1.737,0,900.0858736,42.07454904,24.1290527,6.758607952,4,1654.78702790856,1546.33075582585,1782.11124455904
24850,-1.834,0,904.5116781,40.37960307,28.9512923,7.171504959,4,1665.43005543663,1558.09213116629,1785.58152921416
