D,mean.day,sd.day,N,se.day,CL95.day
50000,274.9689178,NA,1,NA,NA
650000,286.1954006,NA,1,NA,NA
950000,291.8079702,7.031562131,2,4.972065265,14.51835888
1250000,297.4069711,9.289665764,2,6.568785657,19.1807594
1550000,303.0284142,17.17317605,3,9.914937816,23.33345212
1850000,334.3409314,40.33421811,4,20.16710906,42.99318663
2150000,409.9590025,48.64173768,4,24.32086884,51.84836608
2450000,452.6261939,32.32280023,5,14.45519571,29.12791859
2750000,473.2349437,16.85437674,6,6.880770492,13.37057753
3050000,489.3027977,24.76719098,6,10.11116338,19.64781329
3350000,501.6829941,45.02137741,7,17.01648119,32.23906119
3650000,512.7823514,54.63083055,8,19.31491537,35.91701298
4250000,534.6672069,33.65901478,9,11.21967159,20.5669251
4550000,542.5629984,25.17905918,9,8.393019728,15.38535301
4850000,550.8876228,23.63897496,10,7.475300244,13.54869107
5150000,560.9542814,31.74619029,11,9.571836521,17.18991589
5450000,569.6335604,36.98774499,11,11.15222472,20.02811108
5750000,572.3589825,22.27507997,12,6.430261708,11.46057542
6050000,578.5838121,21.48556928,13,5.959024748,10.55303593
6350000,587.3766818,20.09866,13,5.574365322,9.87182971
6650000,591.9294099,18.98255529,14,5.073301302,8.935657004
6950000,596.1284732,19.62938736,15,5.068286022,8.884960613
7250000,602.1317628,19.81768414,15,5.116904042,8.970190451
7550000,609.5085559,16.25241652,16,4.063104131,7.093707176
7850000,614.3042521,19.38662446,17,4.70194708,8.179538766
8150000,619.8427339,20.00592025,18,4.715440625,8.176873977
8450000,625.8973444,19.60667675,18,4.62133803,8.013694091
8750000,631.4860891,18.29079056,19,4.196195139,7.255778698
9050000,637.9014359,18.92068168,20,4.230793042,7.296925942
9350000,639.1273278,16.00697533,20,3.579268495,6.173229669
9650000,633.8403449,18.38419632,21,4.011760534,6.903208466
10250000,632.636421,23.72839618,22,5.058911064,8.686880674
10550000,630.8295951,29.50903766,22,6.291347968,10.80315277
11150000,687.1806454,34.63994401,23,7.222927628,12.37917001
11450000,760.870408,53.81914921,23,11.22206836,19.23318345
11750000,768.9167308,71.3969623,23,14.88729576,25.51491233
12350000,858.7518793,58.88342507,22,12.55398841,21.55701057
12650000,866.7098811,37.5849842,22,8.013145555,13.75972781
12950000,874.3284576,29.50827936,22,6.291186298,10.80287516
13250000,883.531374,30.21792925,22,6.442484162,11.06267544
13550000,891.3438049,24.04886879,22,5.127236054,8.804204546
13850000,897.639478,27.39989567,21,5.979147425,10.2885755
14150000,903.2534541,25.10450034,21,5.4782511,9.4266617
14450000,909.6501158,21.6713446,21,4.729075097,8.137522409
14750000,914.8788647,24.0484155,21,5.247794493,9.03010513
15050000,920.7033107,23.77038883,20,5.315220528,9.16725781
15350000,927.3811933,24.39552413,20,5.45500503,9.40834669
15650000,932.6330955,26.69790747,20,5.969833595,10.29628091
15950000,940.5855812,28.27462179,20,6.322397636,10.90435454
16250000,947.6390513,31.8135267,20,7.11372083,12.26916409
16550000,953.3489886,35.76801938,19,8.205746414,14.18882537
16850000,965.1414533,36.13925922,19,8.290914675,14.3360926
17150000,976.6110928,37.8519529,19,8.683833553,15.01550153
17450000,951.3613473,54.02929578,19,12.39517054,21.43289609
17750000,841.5234935,71.16544745,19,16.32647335,28.23064077
18050000,828.0853508,66.55994063,18,15.68832846,27.20455943
18350000,901.1284341,77.73655459,18,18.32268163,31.77269539
18650000,869.4849159,97.0631691,18,22.87800836,39.67192168
19250000,787.320886,124.7305248,18,29.39926664,50.98019834
19550000,680.35338,145.6065025,17,35.31476408,61.43380113
19850000,638.3223413,141.296794,16,35.32419851,61.67194155
20150000,631.1436577,155.7067119,16,38.92667796,67.96145163
20450000,628.6922077,170.2224002,15,43.95123473,77.04872767
20750000,628.433086,178.8728276,15,46.18476548,80.96421956
21050000,627.0527801,180.8408855,15,46.69291586,81.85503276
21350000,626.6055792,177.2279759,15,45.7600666,80.21970103
21650000,625.5402686,172.8763073,14,46.20313659,81.37805278
21950000,625.0800867,167.3246752,14,44.71940048,78.76473334
22250000,625.2117439,161.8269337,14,43.25006728,76.17678187
22550000,625.1567011,147.4048412,14,39.39560093,69.38787122
22850000,624.8358778,137.5513152,13,38.14987076,67.56088018
23150000,626.3791747,134.8682193,12,38.93310136,69.38998205
23450000,625.9912275,153.2312306,12,44.23404612,78.83778994
23750000,627.2963814,138.0990146,11,41.63841957,74.77780558
23950000,1025.894812,147.3770011,11,44.43583775,79.80164642
24150000,875.0703133,139.4136571,11,42.03479919,75.48965772
24350000,886.7968112,149.5723619,12,43.17782169,76.95529428
24550000,900.0858736,151.7019439,13,42.07454904,74.51122401
