D,mean.GR,sd.GR,N,se.GR,CL95.GR
50000,53144.50663,NA,1,NA,NA
650000,53754.13661,NA,1,NA,NA
950000,53949.4707,8375.552717,2,5922.410122,17293.35216
1250000,54077.05654,13248.79869,2,9368.315398,27355.34587
1550000,54098.63636,16714.32546,3,9650.020305,22710.00493
1850000,18068.99833,16739.69599,4,8369.847995,17843.23355
2150000,10038.24861,5391.040568,4,2695.520284,5746.436255
2450000,9347.650791,6779.659624,5,3031.955957,6109.537918
2750000,18158.60213,6055.06046,6,2471.968081,4803.47963
3050000,23236.62328,6969.27111,6,2845.193016,5528.722964
3350000,26634.49006,10294.34194,7,3890.895526,7371.607418
3650000,29463.77353,13627.20435,8,4817.944302,8959.198872
4250000,53753.64634,12286.21287,9,4095.404291,7507.33857
4550000,55384.60476,12737.00454,9,4245.66818,7782.789248
4850000,51572.80746,13714.37441,10,4336.865982,7860.400987
5150000,53257.20265,15274.58562,11,4605.460848,8270.877221
5450000,52872.28701,15667.10093,11,4723.808668,8483.416273
5750000,48499.61543,13701.92137,12,3955.403996,7049.66732
6050000,48594.05839,13148.72102,13,3646.799066,6458.238255
6350000,49530.56191,12275.17343,13,3404.520554,6029.179146
6650000,48904.4198,11793.51922,14,3151.950593,5551.562527
6950000,48263.64078,11798.00616,15,3046.232091,5340.19825
7250000,49290.99707,11415.0858,15,2947.362479,5166.874842
7550000,52702.09259,10198.45883,16,2549.614707,4451.330698
7850000,54556.24622,10589.71496,17,2568.383137,4467.976581
8150000,53324.67625,10767.55358,18,2537.936718,4400.943699
8450000,53514.51241,11183.46464,18,2635.967894,4570.935993
8750000,53831.07445,11850.97784,19,2718.800779,4701.167635
9050000,55427.7892,13380.49591,20,2991.969843,5160.30497
9350000,54859.79028,14537.98322,20,3250.791874,5606.700048
9650000,52941.95897,16847.07429,21,3676.333008,6326.023931
10250000,80434.0729,20513.13887,22,4373.415903,7509.786514
10550000,56018.41695,23667.4696,22,5045.921473,8664.575671
11150000,52537.32635,25517.30631,23,5320.726173,9119.041094
11450000,24853.55263,24105.74944,23,5026.39622,8614.597369
11750000,31580.92792,22946.21056,23,4784.61565,8200.216533
12350000,34500.79384,19475.79304,22,4152.253028,7130.017928
12650000,36999.01736,15476.85794,22,3299.677199,5666.02214
12950000,42368.11073,13331.44256,22,2842.273104,4880.593271
13250000,47944.31358,12752.4154,22,2718.824099,4668.613507
13550000,50792.45003,10213.65848,22,2177.559305,3739.18371
13850000,52936.82333,10020.36083,21,2186.622,3762.614288
14150000,49503.79089,10933.78431,21,2385.947344,4105.601958
14450000,53816.63814,12103.84488,21,2641.275492,4544.956058
14750000,51350.00672,14436.7907,21,3150.366008,5420.96995
15050000,55882.07899,16162.4398,20,3614.031408,6233.1859
15350000,41996.83106,18107.95673,20,4049.062217,6983.491473
15650000,40491.7724,19915.75141,20,4453.297399,7680.683265
15950000,33480.06511,21481.42367,20,4803.392359,8284.498429
16250000,33478.40551,22143.14334,20,4951.357375,8539.696391
16550000,33464.56912,23067.73466,19,5292.101275,9150.745957
16850000,33377.37511,22172.86657,19,5086.804456,8795.76049
17150000,32838.06746,23172.54735,19,5316.146956,9192.324132
17450000,33256.13166,20577.23943,19,4720.742485,8162.790726
17750000,33340.28112,16808.15761,19,3856.055812,6667.632628
18050000,51793.06025,15004.80644,18,3536.666795,6132.805178
18350000,45943.52544,13931.33091,18,3283.646185,5694.051347
18650000,51472.12554,13776.57423,18,3247.169686,5630.798777
19250000,11.16243389,15274.4671,18,3600.226423,6243.021615
19550000,5.497684875,15524.83425,17,3765.325378,6550.185354
19850000,8.795556908,16409.70375,17,3979.937755,6923.526488
20150000,11.6922383,18473.3856,17,4480.454123,7794.228129
20450000,12.98863499,20612.8173,16,5153.204326,8996.895313
20750000,13.72765283,21793.2318,16,5448.307951,9512.111914
21050000,14.19270038,24371.33609,16,6092.834021,10637.37946
21350000,14.49236662,25977.18863,16,6494.297157,11338.2874
21650000,14.7434826,27897.49082,15,7203.101156,12627.39904
21950000,15.63158017,28767.31268,15,7427.688196,13021.11143
22250000,17.19882434,29027.12886,15,7494.772443,13138.7135
22550000,17.31076799,28849.14362,15,7448.816854,13058.15104
22850000,17.46002788,26841.05642,14,7173.574074,12634.88873
23150000,17.66899494,22544.12099,14,6025.169773,10612.19259
23450000,17.98244291,19861.70513,14,5308.26398,9349.499152
23750000,14236.45272,12224.10273,13,3390.356092,6004.094827
23950000,2802.020113,4018.945014,13,1114.654794,1973.9794
24150000,10508.5107,17628.22757,12,5088.830968,9069.760107
24350000,0.002689169,23198.12421,13,6434.002027,11394.18906
24550000,24129.0527,25288.39537,14,6758.607952,11904.00469
24750000,28951.2923,27775.11927,15,7171.504959,12572.00932
24950000,25843.42037,27351.971,15,7062.248546,12380.47733
