"","D","mean.SST","sd.SST","N","se.SST","CL95.SST"
"1",2e+05,17.5239920240726,NA,1,NA,NA
"2",3e+05,19.3676597866313,5.20619894597719,2,3.68133857890672,10.7494555668075
"3",4e+05,22.5076715155345,1.91715998821759,3,1.10687283527701,2.60487405751633
"4",5e+05,22.6073182023403,2.26493596014442,4,1.13246798007221,2.41424822393477
"5",6e+05,22.6214929553852,3.06531788228789,5,1.37085183148828,2.76233275312106
"6",7e+05,22.8278614265399,2.47140976445443,6,1.00894881137422,1.96056943431174
"7",8e+05,22.7132379125633,2.5008589891669,7,0.945235849910856,1.79082361800518
"8",9e+05,22.4276588327701,2.55279066488363,8,0.902547795044466,1.67833098105278
"9",1e+06,22.1894616844901,2.54891575192606,9,0.849638583975353,1.55748347636895
"10",1100000,21.8413497951674,2.42019477443803,10,0.765332786846164,1.38713592217179
"11",1200000,21.338735056426,2.19397710084321,11,0.661508985648059,1.18799394476166
"12",1300000,20.568257565989,2.03564668582747,12,0.587640581018729,1.04734449474422
"13",1400000,18.5841906710096,1.65645803235132,12,0.478178245439675,0.852251136229359
"14",1500000,17.2646114329374,1.38606528669496,12,0.400122583193866,0.713133500760687
"15",1600000,21.0702626476658,1.47724427847523,12,0.426443690918254,0.76004528350877
"16",1700000,22.651071938284,1.73345281724358,12,0.500404725331549,0.891865114746535
"17",1800000,21.7072918780194,1.91198501823309,12,0.551942532481704,0.983720307075712
"18",1900000,21.9191616912272,1.99711104264024,12,0.576516299034958,1.02751782539901
"19",2e+06,22.1614990848169,1.51984991358699,12,0.438742878368638,0.781965972246187
"20",2100000,22.1352075870003,1.46867673490904,13,0.407337636522738,0.721367823960478
"21",2200000,21.9105352407653,2.19084387580183,13,0.607630763903057,1.07607361222494
"22",2300000,21.6634735316158,1.68205758289774,13,0.466518835647755,0.82617378590552
"23",2400000,21.5416648106344,1.81582247432935,13,0.503618541410335,0.89187489382176
"24",2500000,20.0954466371481,1.99121740919774,13,0.552264343804541,0.978023369856237
"25",2600000,18.3154620693144,1.74921069452511,13,0.485143757746175,0.859157282447267
"26",2700000,18.6625332929517,0.8550165245618,13,0.237138916975122,0.419957227559402
"27",2800000,16.9778719921625,1.33235754611711,13,0.369529496136663,0.654412125510618
"28",2900000,20.7575166224456,1.89281237084436,13,0.524971696762453,0.929689909744521
"29",3e+06,21.3199599106776,1.85362696830829,13,0.514103621524493,0.91044327235552
"30",3100000,21.6098268311781,2.02404664906697,13,0.561369536703234,0.994148060037435
"31",3200000,21.8622663449442,1.99366000711837,13,0.552941798577476,0.979223097137899
"32",3300000,21.6142852581988,1.98575769100432,13,0.550750090427927,0.975341727981606
"33",3400000,21.4325053032719,1.35415722775711,14,0.36191374243505,0.637442342827078
"34",3500000,21.2611249115224,1.30212452971626,14,0.348007418936599,0.61294899429789
"35",3600000,21.0034184790285,1.37013756811526,14,0.366184668045354,0.644964767393647
"36",3700000,20.6464936447077,1.41680533970056,14,0.378657154636525,0.666932684444992
"37",3800000,20.1793907321051,1.37489894590778,14,0.367457199787396,0.647206090449
"38",3900000,19.4378817495741,1.21694599539971,14,0.325242498070878,0.572852908436983
"39",4e+06,18.6478884290879,0.810029034524999,14,0.216489365752273,0.381304914186957
"40",4100000,17.9803837883353,0.727227928677759,14,0.194359839371818,0.342327955073162
"41",4200000,17.410477459547,1.0871320823305,14,0.290548270446488,0.511745613669265
"42",4300000,21.0742503775615,1.55779818991102,14,0.416339078884547,0.733302239558535
"43",4400000,21.7975839736844,1.73296018348772,14,0.463153090823711,0.81575623328327
"44",4500000,21.8037275713303,1.78303599432297,14,0.476536414217312,0.839328416426774
"45",4600000,21.8488078125912,1.60692195004552,14,0.429467956025501,0.756426263938241
"46",4700000,21.8748235092769,1.39362497487826,14,0.372461941546134,0.656020992835602
"47",4800000,21.8868518555642,1.37690418716151,14,0.367993123055203,0.648150017532587
"48",4900000,21.8879064938127,1.45148827119179,14,0.387926557980035,0.683258978506501
"49",5e+06,21.8794164829061,1.56354804650959,14,0.417875792699898,0.736008869177298
"50",5100000,21.8625516436384,1.63873539808113,14,0.437970457657013,0.771401806241265
"51",5200000,21.83758802065,1.70675295751408,14,0.456148915062917,0.803419707523035
"52",5300000,18.2577023085244,1.50788426905909,14,0.40299902240894,0.709806262876238
"53",5400000,18.9680057486593,1.12247024804765,14,0.299992792502961,0.528380346094879
"54",5500000,18.3603077897503,1.04572958333318,14,0.279482987146187,0.492256218037222
"55",5600000,18.4446969281276,1.5370526246388,14,0.410794593345718,0.723536680981338
"56",5700000,22.2101015774771,1.73143296749075,14,0.462744925179693,0.815037326997388
"57",5800000,21.5989221677489,1.841920379839,14,0.492273928219574,0.867047059350858
"58",5900000,22.1782716107293,1.99108777048903,14,0.532140590297538,0.937264615348287
"59",6e+06,22.6548960511789,2.26173205159198,14,0.604473316981608,1.06466498000518
"60",6100000,22.2133764395867,1.73426885684289,14,0.463502848489871,0.816372265005745
"61",6200000,22.7371378237867,1.5614080610588,14,0.417303857530646,0.735001513966688
"62",6300000,22.5946220005918,1.8593358914269,14,0.496928419475099,0.875245061976088
"63",6400000,22.2845966501933,1.80146917427346,14,0.481462888783275,0.848005466013441
