"","D","mean.day","sd.day","N","se.day","CL95.day"
"1",0,8.69904446353951,NA,1,NA,NA
"2",200,60.1226851820597,14.1377850664881,2,9.99692369147164,29.1908730269937
"3",400,70.2563147505195,21.3630595807833,3,12.3339681996792,29.0263097671336
"4",600,99.8073286528073,33.0860492090291,4,16.5430246045146,35.267193839257
"5",800,121.309346958264,19.4968900316237,5,8.71927429210972,17.5697594789601
"6",1000,164.716132751573,31.0216408234171,6,12.664531833544,24.609468520901
"7",1200,228.949042827319,60.5121062184926,7,22.871426337551,43.3317150070161
"8",1400,297.697105269727,59.9691574511899,8,21.2022989478901,39.4266933996924
"9",1600,301.630292111416,44.8460329170596,9,14.9486776390199,27.4026143061964
"10",1800,324.128459136164,46.3523620463023,10,14.6579038995058,26.566880959764
"11",2000,353.285139588205,18.033342019274,10,5.70264346057258,10.335819569544
"12",2200,415.31320787588,31.3369634120566,10,9.90961793354605,17.9607972464696
"13",2400,468.872351128048,24.4646166085026,10,7.73639105656521,14.0219080208924
"14",2600,518.662113009715,31.0042500736629,10,9.80440473782181,17.7701024196126
"15",2800,524.726773638152,29.0756855799477,10,9.19453909635486,16.6647446543152
"16",3000,580.504105679228,20.0615208873274,10,6.34400993309969,11.4982713664743
"17",3200,613.368314048311,24.8141064992061,10,7.84690946394783,14.2222183376284
"18",3400,650.882760832343,30.7038601693607,10,9.7094131094503,17.5979337861967
"19",3600,681.398025339679,36.8632135150721,10,11.657171658073,21.1281704321993
"20",3800,729.657138788359,18.5854050485088,10,5.87722111900798,10.6522347883697
"21",4000,764.465354010386,44.4214429192461,10,14.0472936575977,25.4601736351148
"22",4200,786.326487077148,26.952563391963,10,8.52314890986766,15.4478760430698
"23",4400,813.100008592873,38.5634018658016,10,12.194818422032,22.1026342896806
"24",4600,882.462937404399,42.0138631297065,10,13.2859500792443,24.0802679982469
"25",4800,943.062279285291,22.5591321924596,10,7.13382397650003,12.9297786143881
"26",5000,996.722587228181,69.1505746047117,10,21.8673317260287,39.6336886130533
"27",5200,1020.69838039201,39.3800039509297,10,12.4530506751368,22.5706702090891
"28",5400,1111.64366681313,29.5138273358719,10,9.33309168502947,16.9158658347528
"29",5600,1198.46920853752,66.2354815460922,10,20.9454983603702,37.9629014760867
"30",5800,1234.71788571427,24.2976576257252,10,7.68359399042505,13.9262153911148
"31",6000,1262.07196322821,20.4704160273961,10,6.47331392977875,11.7326298334793
"32",6200,1282.54027830761,33.5298891860932,10,10.6030819521104,19.2176738201862
"33",6400,1304.17919306627,35.2880601382738,10,11.1590644245942,20.2253704365278
"34",6600,1324.05429815187,17.4674021647734,10,5.52367756468397,10.0114508409368
"35",6800,1344.25490530828,15.4027458398673,10,4.87077590746637,8.82809197021055
"36",7000,1373.44515925549,13.0465845979556,10,4.12569230156119,7.47765690126308
"37",7200,1438.70511314061,26.4679244602282,10,8.36989262316039,15.1701049815864
"38",7400,1567.30604332835,34.0976392523652,9,11.3658797507884,20.8349411621858
"39",7600,1590.95163749547,28.2261455424047,9,9.40871518080157,17.2472374776064
"40",7800,1608.84617483904,29.2995238383834,9,9.76650794612781,17.9031120229368
"41",8000,1626.55888572303,28.0966799692652,9,9.36555998975506,17.1681291387878
"42",8200,1643.20985812296,28.0720507921784,9,9.35735026405946,17.1530797844416
"43",8400,1669.4237764174,82.4389848960821,9,27.4796616320274,50.3733231226868
"44",8600,1686.96069803411,44.7156653325547,9,14.9052217775182,27.322954804478
"45",8800,1854.10558529384,23.3828720139274,9,7.79429067130914,14.2878150304586
"46",9000,1905.52893967859,17.2076757916783,9,5.73589193055943,10.514537678227
"47",9200,1936.21271274012,14.7587519796096,9,4.9195839932032,9.01815304122939
"48",9400,1966.03104831281,28.3090185777838,10,8.95209770298172,16.2253290542661
"49",9600,1989.76603728429,30.0999259307138,10,9.51843233434191,17.2517885561083
"50",9800,2013.82174205695,15.7417400223347,10,4.97797528048075,9.0223866661889
"51",10000,2035.51260187992,45.831109868979,10,14.4930694879395,26.2681249970984
"52",10200,2057.85735974363,37.7784581687816,10,11.9465974302744,21.6527433922541
"53",10400,2087.84557691876,36.2609756793543,10,11.4667273326731,20.782997496352
"54",10600,2129.82909475233,16.0724418327344,10,5.08255237520118,9.21192858470627
"55",10800,2179.784667157,28.9968511399819,10,9.16960945751927,16.6195606531199
"56",11000,2271.64091339701,49.6774597322615,10,15.7093921125245,28.472662466955
"57",11200,2324.9450687037,37.8871252703079,10,11.9809609850296,21.7150259992896
"58",11400,2351.82735388534,23.3680793567614,10,7.38963553109285,13.3934271118536
"59",11600,2379.85382125943,25.0193944465715,10,7.9118272129334,14.3398792338452
"60",11800,2410.93106617264,28.2220810454306,10,8.92460564134265,16.1755007613593
"61",12000,2432.50012607137,22.8128400531174,11,6.87833007805289,12.3526885652106
"62",12200,2465.98719921201,56.0252739059969,11,16.8922556657346,30.3365455037602
"63",12400,2433.73939053412,72.0803889198577,11,21.7330549809144,39.0300635042845
"64",12600,2516.01019021059,56.6738121908589,11,17.0877973160135,30.6877157849204
"65",12800,2565.29006576957,73.2191541603112,11,22.076405619722,39.6466817040114
"66",13000,2581.09613259821,140.147307614265,11,42.2560031577304,75.8869145700781
"67",13200,2687.87565691696,156.943688329595,10,49.6299519509107,89.9523584380372
"68",13400,3059.84519833694,144.126495701889,10,45.5767997596438,82.6061776665269
"69",13600,3061.41417955895,118.614369304917,10,37.5091570227902,67.9838888532458
"70",13800,3057.38434348596,88.5285818709795,10,27.9951956736986,50.7402037840843
"71",14000,3036.94062796955,65.3367497776747,9,21.7789165925582,39.92321366506
"72",14200,2787.45307259629,28.2139312682125,9,9.40464375607082,17.2397740962782
"73",14400,2816.85261317935,82.0796915076397,9,27.3598971692132,50.1537813370295
