D,mean.GR,sd.GR,N,se.GR,CL95.GR
600,5.264184163,NA,1,NA,NA
800,6.068350761,NA,1,NA,NA
1000,6.695529873,0.453502799,2,0.320674904,0.936366096
1200,6.873267069,1.380294547,3,0.796913428,1.875426922
1400,1.589435094,3.03736324,4,1.51868162,3.237596531
1600,3.840348978,0.856926956,5,0.383229385,0.772225749
1800,5.370945113,1.737059096,6,0.709151406,1.378009029
2000,6.766181026,3.511318174,7,1.327153523,2.51439667
2200,12.55317677,3.182617269,8,1.125225126,2.092410176
2400,11.99955758,3.097492165,9,1.032497388,1.892684315
2600,0.00255591,2.796700431,9,0.932233477,1.708889243
2800,0.326002252,4.161984162,8,1.471483612,2.736294463
3000,0.000979549,2.899022195,8,1.024959127,1.905960732
3200,8.536369157,3.361194805,8,1.18836182,2.20981589
3400,1.399241856,3.969915403,9,1.323305134,2.425767756
3600,14.90131615,4.564187877,10,1.443322936,2.615966709
3800,10.0571373,4.649438017,10,1.470281397,2.664827872
4000,11.96314285,4.699821329,10,1.486214,2.693705094
4200,10.22312671,4.132560995,10,1.306830531,2.368579532
4400,8.615308406,4.539591076,9,1.513197025,2.773861037
4600,1.853313565,3.672956966,8,1.298586389,2.414783771
4800,3.941437701,1.267927556,9,0.422642519,0.774751467
5000,5.368706138,2.908075531,9,0.96935851,1.776943622
5200,0.408812798,3.306095431,10,1.045479172,1.894890355
5400,8.666733051,2.842493392,10,0.898875335,1.629176599
5600,9.813834922,3.578910111,9,1.192970037,2.186848803
5800,12.14499465,3.691184626,10,1.167255068,2.115604432
6000,13.19791476,3.881641087,10,1.227482689,2.224764653
6200,6.469450773,4.42983202,10,1.400835884,2.538960579
6400,0.473411874,3.254786138,9,1.084928713,1.988796854
6600,5.604979139,2.067061709,9,0.68902057,1.263052517
6800,7.452957953,1.471951324,9,0.490650441,0.899417669
7000,0.000431358,1.258472075,9,0.419490692,0.768973812
7200,0.000262308,2.421795045,9,0.807265015,1.479807939
7400,0.000497919,3.563293762,9,1.187764587,2.177306626
7600,3.53726449979543e-05,3.691385446,9,1.230461815,2.255575467
7800,10.15999673,4.315755953,9,1.438585318,2.637089351
8000,7.012197816,3.546746485,10,1.121579718,2.032819634
8200,10.49152528,3.616919922,11,1.090542389,1.95848852
8400,10.26176374,3.635761595,11,1.096223367,1.968690903
8600,9.302266653,3.533155832,11,1.065286566,1.913131971
8800,1.063437453,3.718378107,10,1.175854402,2.131190389
9000,5.455293962,2.933930605,11,0.884613362,1.588663707
9200,4.420350472,2.406851214,9,0.802283738,1.470676696
9400,9.372885625,2.131903768,10,0.674167166,1.221901778
9600,9.018267216,1.797785494,10,0.56850969,1.030401712
9800,9.035558256,3.147356806,9,1.049118935,1.923153488
10000,3.844151125,2.966232597,9,0.988744199,1.812479779
10200,4.258104272,1.208858178,10,0.382274521,0.692857708
10400,4.532390324,2.07479991,10,0.65610934,1.189172672
10600,9.344005137,2.513126405,10,0.794720349,1.440399736
10800,9.678989657,1.867209559,10,0.590463508,1.070192152
11000,9.494580827,2.030394406,10,0.642067087,1.163721634
11200,8.93958305,1.551338434,9,0.517112811,0.947926182
11400,7.42273252,1.321532467,9,0.440510822,0.807506086
11600,6.975649597,1.611743731,10,0.509678119,0.923771776
11800,0.000471204,1.613353288,9,0.537784429,0.985819592
12000,0.00024531,0.993342725,9,0.331114242,0.606969799
12200,0.911340347,1.052573532,9,0.350857844,0.643162051
12400,6.816707365,3.269206259,10,1.033813792,1.873747306
12600,11.50267352,4.330235656,10,1.369340748,2.48187687
12800,9.383381751,3.268716838,10,1.033659023,1.873466794
13000,9.598921478,2.959281867,10,0.935807094,1.696113976
13200,13.22504295,3.209058469,10,1.014793391,1.839273568
13400,8.627375989,2.566620603,10,0.8116367,1.471059964
13600,0.000124802,3.617934127,9,1.205978042,2.210693946
13800,1.194523433,1.384394981,9,0.461464994,0.845917448
14000,3.571669298,1.436324031,10,0.45420554,0.823229882
14200,7.118938942,1.450006448,10,0.4585323,0.831071967
14400,9.093367611,1.334404858,10,0.421975867,0.764814854
14600,10.44316713,1.627415147,10,0.514633856,0.932753857
14800,10.17022078,2.196441357,10,0.694575744,1.258891532
15000,7.862187166,2.325239877,10,0.735305412,1.332712472
15200,4.66450734,2.068649166,10,0.654164305,1.18564737
15400,1.525162002,2.48293908,10,0.785174278,1.423097854
15600,5.078186999,1.304032198,10,0.412371189,0.747406748
15800,3.769173098,1.290306001,10,0.408030584,0.739539571
16000,4.002181533,1.234376384,10,0.390344086,0.707483481
16200,3.457580274,0.996229245,10,0.315035349,0.570989322
16400,3.872211613,2.194609596,10,0.69399649,1.257841657
16600,7.675651029,2.588724665,10,0.818626618,1.483728919
16800,7.200602971,2.521085035,10,0.797237088,1.444961228
17000,6.5645494,3.164085984,10,1.000571842,1.813497565
17200,5.667047731,2.878919658,10,0.910394332,1.650054333
17400,7.638676361,2.259794123,10,0.714609647,1.295202204
17600,7.587993033,1.672878863,10,0.529010746,0.95881141
17800,7.068542832,1.217948922,10,0.385149267,0.698068072
18000,7.166115844,1.577309823,10,0.498789162,0.904035964
18200,7.261759366,1.76670012,10,0.558679632,1.012585113
18400,6.105943559,1.652132966,10,0.522450317,0.946920888
18600,4.731506358,1.40892298,10,0.445540567,0.807524956
18800,4.635491441,2.093187236,10,0.661923923,1.199711377
19000,5.698162194,2.929309995,10,0.926329156,1.678935582
19200,13.04926092,2.966162118,10,0.93798282,1.700057396
19400,9.354675638,3.073272082,9,1.024424027,1.877884933
19600,11.69342271,4.354804813,8,1.539656007,2.863064307
19800,3.494385386,3.754166151,7,1.418941431,2.688296077
20000,6.329949566,1.747559229,6,0.713438068,1.386338785
20200,3.794293294,2.19490164,5,0.981589854,1.977951039
20400,7.343351713,2.748077012,4,1.374038506,2.929239573
20600,10.12937301,0.87958345,3,0.507827742,1.195103238
20800,10.95672195,1.64505843,2,1.163231971,3.396620583
21000,0,NA,0,NA,NA
