"D","d18Oc","YEARMARKER","mean.day","se.day","mean.GR","se.GR","year","day_new","day_new_lower","day_new_upper"
0.6,-1.35,0,253.1034473,0,0.005264184163,0,0,220.068376978461,208.737232847463,238.467757761243
0.8,-0.97,0,288.3606061,0,0.006068350761,0,0,255.325535778461,243.994391647463,273.724916561243
1,-0.65,1,322.249675,17.54613658,0.006695529873,0.000320674904,1,289.214604678461,277.883460547463,307.613985461243
1.2,-0.72,0,359.2963393,20.96642029,0.006873267069,0.000796913428,1,324.706742973151,302.116520094743,361.492357037102
1.4,-1.29,0,483.6404564,39.56380886,0.001589435094,0.00151868162,1,432.959766299956,348.480626959328,489.461782399833
1.6,-1.49,0,562.6731187,10.55508086,0.003840348978,0.000383229385,1,496.223985918243,436.288850870296,535.211893793516
1.8,-1.41,0,626.9921163,10.30760313,0.005370945113,0.000709151406,1,541.834378594779,501.043301281874,567.581772024681
2,-0.89,0,659.8829788,17.948109,0.006766181026,0.001327153523,1,578.550766876434,557.326574602873,591.243029884419
2.2,-0.89,0,684.4837596,10.51675714,0.01255317677,0.001125225126,1,597.876504628335,586.719844980255,604.775849075906
2.4,-0.93,0,700.979234,11.83481046,0.01199955758,0.001032497388,1,618.1034473,618.1034473,618.1034473
2.6,-0.57,1,730.8324853,5.151759938,2.55591e-06,0.000932233477,2,678.956583903779,618.1034473,805.225628407112
2.8,-0.95,0,741.4595924,9.986363901,0.000326002252,0.001471483612,2,742.594020050331,618.1034473,869.070166817849
3,-0.82,0,757.447625,8.715117255,9.79549e-07,0.001024959127,2,801.653882766848,618.1034473,904.359389811693
3.2,-0.77,0,791.7077124,17.17404337,0.008536369157,0.00118836182,2,821.605944703062,647.79377489594,919.742446452017
3.4,-1.72,0,933.9478734,13.42981391,0.001399241856,0.001323305134,2,903.780145929798,792.555301409356,943.356280224902
3.6,-1.26,0,985.5186625,20.66931904,0.01490131615,0.001443322936,2,915.095879653548,819.889139235557,949.366335636985
3.8,-1.14,0,1001.754486,23.42597122,0.0100571373,0.001470281397,2,932.1222674759,860.591393970975,958.051603791683
4,-1.02,0,934.95419,20.77216397,0.01196314285,0.001486214,2,946.322873199864,893.162200952266,965.32972966437
4.2,-1.26,0,985.0132562,17.88792949,0.01022312671,0.001306830531,2,962.947185135831,931.821506138704,974.043380403633
4.4,-1.23,0,964.524873,20.84029914,0.008615308406,0.001513197025,2,983.1034473,983.1034473,983.1034473
4.6,-0.16,1,1044.925669,11.11749643,0.001853313565,0.001298586389,3,1076.73351329526,983.1034473,1168.59965925906
4.8,-0.36,0,1072.677136,18.07335808,0.003941437701,0.000422642519,3,1125.00999499955,1034.67317394202,1216.13789271811
5,-0.74,0,1198.467864,20.94743018,0.005368706138,0.00096935851,3,1161.29434953239,1072.34007589999,1251.29112250922
5.2,-1.73,0,1305.347393,10.12969219,0.000408812798,0.001045479172,3,1246.07240155568,1159.92199445474,1284.64910447038
5.4,-1.28,0,1307.415139,47.84561764,0.008666733051,0.000898875335,3,1268.05066112691,1202.98345515251,1299.06106111951
