D,d18Oc,YEARMARKER,D_err,d18Oc_err
0.6,-1.35,0,0.1,0.08
0.8,-0.97,0,0.1,0.08
1,-0.65,1,0.1,0.08
1.2,-0.72,0,0.1,0.08
1.4,-1.29,0,0.1,0.08
1.6,-1.49,0,0.1,0.08
1.8,-1.41,0,0.1,0.08
2,-0.89,0,0.1,0.08
2.2,-0.89,0,0.1,0.08
2.4,-0.93,0,0.1,0.08
2.6,-0.57,1,0.1,0.08
2.8,-0.95,0,0.1,0.08
3,-0.82,0,0.1,0.08
3.2,-0.77,0,0.1,0.08
3.4,-1.72,0,0.1,0.08
3.6,-1.26,0,0.1,0.08
3.8,-1.14,0,0.1,0.08
4,-1.02,0,0.1,0.08
4.2,-1.26,0,0.1,0.08
4.4,-1.23,0,0.1,0.08
4.6,-0.16,1,0.1,0.08
4.8,-0.36,0,0.1,0.08
5,-0.74,0,0.1,0.08
5.2,-1.73,0,0.1,0.08
5.4,-1.28,0,0.1,0.08
5.6,-1.17,0,0.1,0.08
5.8,-1.06,0,0.1,0.08
6,-1.08,0,0.1,0.08
6.2,-1.42,0,0.1,0.08
6.4,-0.35,1,0.1,0.08
6.6,-0.95,0,0.1,0.08
6.8,-1.15,0,0.1,0.08
7,-1.46,0,0.1,0.08
7.2,-1.29,0,0.1,0.08
7.4,-1.29,0,0.1,0.08
7.6,-1.33,0,0.1,0.08
7.8,-1.02,0,0.1,0.08
8,-0.73,1,0.1,0.08
8.2,-0.93,0,0.1,0.08
8.4,-1,0,0.1,0.08
8.6,-0.98,0,0.1,0.08
8.8,-1.12,0,0.1,0.08
9,-1.47,0,0.1,0.08
9.2,-1.7,0,0.1,0.08
9.4,-1.73,0,0.1,0.08
9.6,-1.53,0,0.1,0.08
9.8,-1.66,0,0.1,0.08
10,-0.79,0,0.1,0.08
10.2,-0.55,1,0.1,0.08
10.4,-0.57,0,0.1,0.08
10.6,-1.4,0,0.1,0.08
10.8,-1.45,0,0.1,0.08
11,-1.38,0,0.1,0.08
11.2,-1.73,0,0.1,0.08
11.4,-1.58,0,0.1,0.08
11.6,-1.64,0,0.1,0.08
11.8,-1.14,0,0.1,0.08
12,-1.03,0,0.1,0.08
12.2,-0.64,1,0.1,0.08
12.4,-1.43,0,0.1,0.08
12.6,-1.43,0,0.1,0.08
12.8,-1.57,0,0.1,0.08
13,-1.36,0,0.1,0.08
13.2,-1.24,0,0.1,0.08
13.4,-1.54,0,0.1,0.08
13.6,-1.12,0,0.1,0.08
13.8,-0.4,1,0.1,0.08
14,-0.9,0,0.1,0.08
14.2,-1.24,0,0.1,0.08
14.4,-1.52,0,0.1,0.08
14.6,-1.56,0,0.1,0.08
14.8,-1.53,0,0.1,0.08
15,-1.71,0,0.1,0.08
15.2,-1.61,0,0.1,0.08
15.4,-1.08,0,0.1,0.08
15.6,-0.49,1,0.1,0.08
15.8,-0.94,0,0.1,0.08
16,-1.27,0,0.1,0.08
16.2,-1.82,0,0.1,0.08
16.4,-1.73,0,0.1,0.08
16.6,-1.15,0,0.1,0.08
16.8,-0.89,0,0.1,0.08
17,-1.09,0,0.1,0.08
17.2,-0.55,1,0.1,0.08
17.4,-0.85,0,0.1,0.08
17.6,-1.08,0,0.1,0.08
17.8,-1.38,0,0.1,0.08
18,-1.64,0,0.1,0.08
18.2,-1.59,0,0.1,0.08
18.4,-1.56,0,0.1,0.08
18.6,-1.23,0,0.1,0.08
18.8,-0.8,0,0.1,0.08
19,-0.49,1,0.1,0.08
19.2,-1.09,0,0.1,0.08
19.4,-0.92,0,0.1,0.08
19.6,-0.86,0,0.1,0.08
19.8,-1.49,0,0.1,0.08
20,-1.5,0,0.1,0.08
20.2,-1.33,0,0.1,0.08
20.4,-0.96,0,0.1,0.08
20.6,-0.85,0,0.1,0.08
20.8,-0.67,0,0.1,0.08
21,-0.24,1,0.1,0.08
