"D","d18Oc","YEARMARKER","mean.day","se.day","mean.GR","se.GR","year","day_new","day_new_lower","day_new_upper"
0.6,-1.35,0,253.1034473,0,0.005264184163,0,0,296.190437694725,265.724469666509,325.750597956263
0.8,-0.97,0,288.3606061,0,0.006068350761,0,0,331.447596494725,300.981628466509,361.007756756263
1,-0.65,1,322.249675,17.54613658,0.006695529873,0.000320674904,1,365.336665394725,334.870697366509,394.896825656263
1.2,-0.72,0,359.2963393,20.96642029,0.006873267069,0.000796913428,1,400.99691998227,366.911513671998,435.650381893683
1.4,-1.29,0,483.6404564,39.56380886,0.001589435094,0.00151868162,1,507.898429063178,400.887961588455,586.132215534151
1.6,-1.49,0,562.6731187,10.55508086,0.003840348978,0.000383229385,1,571.503779565413,488.108823261684,633.449631307076
1.8,-1.41,0,626.9921163,10.30760313,0.005370945113,0.000709151406,1,617.354829395771,554.316743674615,666.218463455136
2,-0.89,0,659.8829788,17.948109,0.006766181026,0.001327153523,1,654.459492506874,606.646162032153,693.994904816958
2.2,-0.89,0,684.4837596,10.51675714,0.01255317677,0.001125225126,1,673.871247805039,633.015902590077,709.58240666131
2.4,-0.93,0,700.979234,11.83481046,0.01199955758,0.001032497388,1,694.153663936046,659.364520031825,727.197706504372
2.6,-0.57,1,730.8324853,5.151759938,2.55591e-06,0.000932233477,2,754.564119260361,665.465038170459,889.440383494614
2.8,-0.95,0,741.4595924,9.986363901,0.000326002252,0.001471483612,2,815.027953465211,674.798251582751,949.039401680998
3,-0.82,0,757.447625,8.715117255,9.79549e-07,0.001024959127,2,875.375729644529,683.821263437785,989.24961621121
3.2,-0.77,0,791.7077124,17.17404337,0.008536369157,0.00118836182,2,895.467156990348,720.451812533062,1004.40855093846
3.4,-1.72,0,933.9478734,13.42981391,0.001399241856,0.001323305134,2,979.332192174592,862.607499082858,1036.83355466546
3.6,-1.26,0,985.5186625,20.66931904,0.01490131615,0.001443322936,2,990.709681034847,889.45081328731,1043.92830195106
3.8,-1.14,0,1001.754486,23.42597122,0.0100571373,0.001470281397,2,1007.86303399631,928.191610195047,1054.83430677247
4,-1.02,0,934.95419,20.77216397,0.01196314285,0.001486214,2,1022.15291142715,959.328782198207,1063.68426821234
4.2,-1.26,0,985.0132562,17.88792949,0.01022312671,0.001306830531,2,1038.96213899148,993.892324709916,1075.54346712282
4.4,-1.23,0,964.524873,20.84029914,0.008615308406,0.001513197025,2,1059.15366393605,1024.36452003183,1092.19770650437
4.6,-0.16,1,1044.925669,11.11749643,0.001853313565,0.001298586389,3,1152.0963539642,1052.10820102047,1249.21257791369
4.8,-0.36,0,1072.677136,18.07335808,0.003941437701,0.000422642519,3,1200.47569605951,1110.51003732276,1298.27737360063
5,-0.74,0,1198.467864,20.94743018,0.005368706138,0.00096935851,3,1236.59682865824,1146.43707636027,1333.57041217827
5.2,-1.73,0,1305.347393,10.12969219,0.000408812798,0.001045479172,3,1321.7975650553,1235.46837701614,1377.60807080781
5.4,-1.28,0,1307.415139,47.84561764,0.008666733051,0.000898875335,3,1343.75124435164,1273.24771434517,1393.72659227761
5.6,-1.17,0,1335.871558,29.42173472,0.009813834922,0.001192970037,3,1363.28641106972,1304.43797108774,1407.99202488069
5.8,-1.06,0,1370.233973,34.94721694,0.01214499465,0.001167255068,3,1378.91419974132,1327.88159264089,1420.02462508288
6,-1.08,0,1343.289213,31.80322827,0.01319791476,0.001227482689,3,1393.33972446522,1349.4583320228,1431.30901225079
6.2,-1.42,0,1377.343144,29.57636926,0.006469450773,0.001400835884,3,1424.15366393605,1389.36452003183,1457.19770650437
6.4,-0.35,1,1497.677801,25.40933494,0.000473411874,0.001084928713,4,1497.90448123153,1399.1363781887,1656.44355204572
6.6,-0.95,0,1563.147387,27.35989717,0.005604979139,0.00068902057,4,1527.42115990362,1426.48677960601,1710.25813571816
6.8,-1.15,0,1592.546927,9.404643756,0.007452957953,0.000490650441,4,1549.38850991532,1443.90290319412,1751.20158543565
7,-1.46,0,1343.059372,21.77891659,4.31358e-07,0.000419490692,4,1609.99803553571,1465.16387059326,1778.68614061494
7.2,-1.29,0,1322.615657,27.99519567,2.62308e-07,0.000807265015,4,1667.66165328546,1497.81109098044,1791.03502134093
7.4,-1.29,0,1318.58582,37.50915702,4.97919e-07,0.001187764587,4,1720.31370469395,1582.34566822287,1801.16427085025
7.6,-1.33,0,1320.154802,45.57679976,3.53726449979543e-08,0.001230461815,4,1772.82428689007,1723.60808011693,1808.88766930005
7.8,-1.02,0,1692.124343,49.62995195,0.01015999673,0.001438585318,4,1789.15366393605,1754.36452003183,1822.19770650437
8,-0.73,1,1798.903867,42.25600316,0.007012197816,0.001121579718,5,1815.82121637176,1778.1130066296,1851.71928038273
8.2,-0.93,0,1814.709934,22.07640562,0.01049152528,0.001090542389,5,1833.34721671758,1793.77467304279,1873.31322120306
8.4,-1,0,1863.98981,17.08779732,0.01026176374,0.001096223367,5,1851.30286778072,1808.83478068954,1895.70266305058
8.6,-0.98,0,1946.260609,21.73305498,0.009302266653,0.001065286566,5,1871.16771922833,1826.43366154388,1921.05430023757
