"","D","mean.d18O_mod","sd.d18O_mod","N","se.d18O_mod","CL95.d18O_mod"
"1",0,-0.309420299159725,NA,1,NA,NA
"2",200,-0.687291538863635,0.0668370182621225,2,0.0472609088474359,0.138001172348925
"3",400,-0.873212901444726,0.11694175579541,3,0.0675163541879873,0.158890519197138
"4",600,-1.05317714404671,0.238533205615285,4,0.119266602807643,0.25425812391157
"5",800,-1.28490495284772,0.0906818611055239,5,0.0405541611516291,0.0817185964604755
"6",1000,-1.44279122498765,0.0590729954518174,6,0.024116449405784,0.0468626089213644
"7",1200,-1.39251150860434,0.307995099814556,7,0.116411205590833,0.220550179505127
"8",1400,-1.0092187106187,0.240800405877921,8,0.0851357999543755,0.158314109728782
"9",1600,-0.929768611706004,0.112512369337428,9,0.0375041231124761,0.0687492931054116
"10",1800,-0.780100204822461,0.150480833317953,10,0.0475862177484884,0.0862481696507862
"11",2000,-0.705751418607786,0.0935334043601742,10,0.0295778595087675,0.0536087204556267
"12",2200,-0.809377529840669,0.164643068690802,10,0.0520647098022492,0.0943652623870486
"13",2400,-1.23526697794021,0.183225968613683,10,0.0579411387309763,0.105016061361332
"14",2600,-1.61079623583514,0.148599723415597,10,0.0469913585664341,0.0851700105097652
"15",2800,-1.6287299928698,0.0690731746126608,10,0.0218428556994527,0.0395893267664434
"16",3000,-1.57220870008963,0.0837463367548548,10,0.0264829169840815,0.0479992574522968
"17",3200,-1.39071564880647,0.142102238217926,10,0.0449366733376472,0.0814459734129735
"18",3400,-1.08539758178974,0.19391807812958,10,0.0613222806371958,0.111144249617064
"19",3600,-0.861165555993806,0.181668266030292,10,0.057448549922912,0.104123263297184
"20",3800,-0.707664551263878,0.103294636032823,10,0.0326646319941819,0.0592033755804051
"21",4000,-0.82479419110622,0.184292899754218,10,0.0582785319820413,0.105627573511987
"22",4200,-0.916808191637613,0.138473146200968,10,0.043789053676455,0.0793659573932884
"23",4400,-1.23965239179569,0.241413794006004,10,0.0763417447641678,0.138366444432666
"24",4600,-1.71174649675655,0.251520280410342,10,0.079537696382091,0.144158982490539
"25",4800,-1.66342179922333,0.10940774718837,10,0.0345977674783132,0.0627071084905208
"26",5000,-1.28384837676727,0.444570064059098,10,0.140585398195371,0.254805568664109
"27",5200,-0.869097779795287,0.232639275367538,10,0.0735669983372524,0.133337324408221
"28",5400,-0.769671257903234,0.14359791526352,10,0.045409647948458,0.0823032215071451
"29",5600,-1.08338865049668,0.47996968799875,10,0.151779742191643,0.275094881952733
"30",5800,-1.53710419419996,0.139236798841392,10,0.0440305418449492,0.0798036453103032
"31",6000,-1.66615907973407,0.0832187615550045,10,0.026316083057227,0.047696877445907
"32",6200,-1.6697990007085,0.128184933914239,10,0.0405356352887157,0.0734692630492702
"33",6400,-1.58523451266605,0.192743585004413,10,0.060950873300022,0.11047108825771
"34",6600,-1.44873521389004,0.113059300056623,10,0.0357524898843334,0.0647999979590719
"35",6800,-1.22957301476495,0.15081040872702,10,0.0476904386438316,0.0864370659717804
"36",7000,-0.913665848395545,0.11509678043912,10,0.0363967977539935,0.0659677809239526
"37",7200,-0.426204816310542,0.0739610568180782,10,0.0233885397698253,0.0423908190521431
"38",7400,-1.09301463293232,0.233654690030435,10,0.0738881006476811,0.133919309862318
"39",7600,-1.42243633844979,0.173155817776843,10,0.0547566774283899,0.0992443490532963
"40",7800,-1.41740088191846,0.143148224554933,10,0.0452674432602831,0.0820454810383465
"41",8000,-1.50493540093105,0.0696041572551196,10,0.0220107671542712,0.0398936597503767
"42",8200,-1.51012034178035,0.0928221859035319,10,0.0293529524850735,0.0532010852189341
"43",8400,-1.45370585198989,0.355162638404698,10,0.112312287715364,0.203561655098136
"44",8600,-1.38030223953187,0.184226574648138,10,0.0582575581419151,0.105589559242162
"45",8800,-0.646248999774257,0.137252610805139,10,0.0434030864948875,0.0786664068820162
"46",9000,-0.934434263135733,0.10503636615682,10,0.0332154154202978,0.0602016491273292
"47",9200,-0.934494730556801,0.120745295619811,10,0.0381830150908956,0.0692052304039799
"48",9400,-1.48400453114415,0.169986045067905,10,0.0537543072858611,0.0974275921392956
"49",9600,-1.59096378810249,0.101655617302344,10,0.0321463287625829,0.0582639711233044
"50",9800,-1.62326144631267,0.04094220297779,10,0.0129470613834745,0.0234660454122038
"51",10000,-1.57346364935464,0.184775644694133,10,0.0584311893359467,0.105904259031051
"52",10200,-1.44107802832803,0.154935690514025,10,0.0489949672875264,0.0888014734220714
"53",10400,-1.1971439070368,0.321966099560921,10,0.101814620397305,0.184535041203944
"54",10600,-0.620829642387993,0.139197209468098,10,0.0440180225858743,0.0797809546399435
"55",10800,-0.563621768465647,0.0649408280693185,10,0.0205360929836442,0.0372208701473007
"56",11000,-0.85835598607717,0.370088706345654,10,0.117032324835748,0.21211653887706
"57",11200,-1.54318852685834,0.22040968537429,10,0.0696996624143858,0.126327928399172
"58",11400,-1.69344489162301,0.0617118245518915,10,0.0195149924148677,0.0353701650639124
"59",11600,-1.7202907741836,0.0725632149653274,10,0.0229465033634851,0.041589645250784
"60",11800,-1.65347699232906,0.138496094551106,10,0.043796310581953,0.0793791102523754
"61",12000,-1.4476820070748,0.11295120489104,11,0.034056069658376,0.0611607784842048
"62",12200,-1.20363600664485,0.11818124210764,11,0.0356329852117448,0.0639927371868781
"63",12400,-0.921002920325195,0.1392319312944,11,0.0419800068127333,0.07539125692408
"64",12600,-0.912528073576044,0.151037709536137,11,0.0455395828841862,0.0817838455518246
"65",12800,-0.897970207462077,0.111103715676003,11,0.0334990307010571,0.0601604006773291
"66",13000,-0.801897303122213,0.112923476934142,11,0.0340477093648092,0.0611457643599083
"67",13200,-1.19734381393079,0.236280363917948,10,0.0747184116354182,0.135424216247435
"68",13400,-1.28947055480994,0.134034254971042,10,0.0423853530192237,0.0768218045239915
"69",13600,-1.28948384576015,0.122047841636589,10,0.0385949163079152,0.0699517853462666
"70",13800,-1.28960009179126,0.0699305287419112,10,0.0221139748804308,0.0400807197416149
"71",14000,-1.28951677279766,0.0646612459917185,10,0.0204476813678264,0.0370606275308259
"72",14200,-1.16408671749448,0.168265933980755,10,0.053210360399471,0.0964417095548391
"73",14400,-0.876859916777303,0.259243085271292,10,0.0819798617106534,0.148585312204037
"74",14600,-0.449960043816434,0.29026848166422,10,0.0917909535017757,0.166367534647783
"75",14800,-1.29640603830616,0.278420142389464,10,0.0880441796419101,0.159576652690809
"76",15000,-1.01194854720492,0.321531243789856,10,0.101677106928281,0.184285803387476
"77",15200,-1.20339694235321,0.354176597644651,10,0.112000474248613,0.20299650531208
"78",15400,-1.26410097214299,0.234622803323775,10,0.0741942449516854,0.134474184511296
"79",15600,-1.35143806653427,0.327978912727011,10,0.103716038872294,0.187981288268058
"80",15800,-1.64624575381151,0.295512633040835,10,0.093449299776257,0.16937322279844
"81",16000,-0.840667852025518,0.380423042255865,10,0.120300328793901,0.218039669000408
"82",16200,-0.499458859913863,0.14735502706794,10,0.0465977510210454,0.0844566121361029
"83",16400,-0.27271768124379,0.219897167057354,10,0.0695375898919784,0.126034178253233
"84",16600,-1.13151963983799,0.396462342964858,10,0.125372401025578,0.227232602732415
"85",16800,-1.29412920745654,0.283625257806552,10,0.0896901816621157,0.162559967360501
"86",17000,-1.27254259312056,0.233973230369992,10,0.0739888319476456,0.134101881427354
"87",17200,-1.28058807052188,0.289524704749518,10,0.0915557505896247,0.165941238513537
"88",17400,-1.3375914940884,0.333293989072271,10,0.105396813591165,0.191027627102215
"89",17600,-1.62918147066159,0.248859707734011,10,0.0786963494283296,0.14263407384605
"90",17800,-0.9027159324597,0.246522117629092,10,0.0779571385315879,0.141294282834147
"91",18000,-0.847831774203108,0.0354975604291104,10,0.0112253142335453,0.0203454456396454
"92",18200,-0.837530112547883,0.0603006482665215,10,0.0190687392906892,0.0345613486254057
"93",18400,-0.851613247141865,0.0381521071652481,10,0.0120647556177014,0.0218669005133075
"94",18600,-0.816011846081915,0.140432239247625,9,0.0468107464158751,0.0858093846422322
"95",18800,-0.89366848400653,0.170288996373499,8,0.0602062520485762,0.11195641784402
"96",19000,-1.05511810159359,0.206180297811064,7,0.0779288276070443,0.147642289504054
"97",19200,-1.3296144936503,0.0949401137898063,6,0.0387591391511331,0.0753159948882304
"98",19400,-1.50351428167348,0.0377629470560149,5,0.016888103329595,0.0340303451429803
